variable,smd_before,smd_after
age,0.1481671383372067,0.28633581608546577
female,0.06196740526104112,0.15795100755530675
rural,-0.39256612098808435,-0.2621457266645087
edu,0.25393117241722346,0.3818285775261123
married,0.0934024339998264,-0.11341160540402727
logcons,0.34369881759277515,0.44295928797317197
chronic_count,-0.08567222708191825,0.23906275437239094
smoke,-0.2740701537272248,-0.12432654962252551
drink,-0.11928594945095734,-0.045448964416886464
ins,0.013863680700232516,-0.14227568901622648
children,-0.35411114911588876,-0.22428138569520661
gdp,0.8045890952362135,0.556111810940475
