variable,smd_before,smd_after_weighted
age,0.1481671383372067,-0.83280172099087
female,0.06196740526104112,-0.824690508792362
rural,-0.39256612098808435,-0.8610697456827637
edu,0.25393117241722346,-0.7780651808280158
married,0.0934024339998264,-0.8303604463589521
logcons,0.34369881759277515,-0.8229963643800056
chronic_count,-0.08567222708191825,-0.8613052299866494
smoke,-0.2740701537272248,-0.851313888563776
drink,-0.11928594945095734,-0.8393521387458492
ins,0.013863680700232516,-0.8316852228121654
children,-0.35411114911588876,-0.8690692651075592
gdp,0.8045890952362135,-0.8124192743348427
