group,egt,att,se,pval
Low,-3,0.010598007713884694,0.011148939603016163,0.34380892820937137
Low,-2,0.006835787302338463,0.00573231380711172,0.2355198127960059
Low,0,0.007463938142651425,0.006819617687407119,0.27603140704232065
Low,1,0.013171562352486028,0.01000407913283734,0.19058420329418796
Mid,-3,0.002451399432757486,0.012885219768977642,0.849452425807418
Mid,-2,0.0022923914338264448,0.008834854499826844,0.7957395904894398
Mid,0,0.005914807907493132,0.009527769064718486,0.5359725748868631
Mid,1,0.023064157928904285,0.015939912176466717,0.15065681484779425
High,-3,-0.0012262993839268098,0.014162633455452628,0.9311558322414563
High,-2,-0.008982369811467302,0.007218816698805807,0.21601040513508277
High,0,0.019075612116018124,0.008233009472322615,0.0223402171352506
High,1,0.030739131395186716,0.009845191586667114,0.002288809547530112
