类别,变量,指标,High,Non-high,P值
连续变量,年龄,Mean,69.83,67.47,0.000
连续变量,年龄,SD,7.21,6.49,
连续变量,年龄,Median,69.00,66.00,
连续变量,年龄,P25/P75,64.00/75.00,62.00/71.00,
连续变量,log家庭人均消费,Mean,8.19,8.66,0.000
连续变量,log家庭人均消费,SD,0.92,0.89,
连续变量,log家庭人均消费,Median,8.23,8.63,
连续变量,log家庭人均消费,P25/P75,7.69/8.75,8.13/9.23,
连续变量,认知健康(0-31),Mean,13.63,16.71,0.000
连续变量,认知健康(0-31),SD,4.14,3.97,
连续变量,认知健康(0-31),Median,14.00,17.00,
连续变量,认知健康(0-31),P25/P75,11.00/16.00,14.00/19.00,
连续变量,CES-D总分(0-30),Mean,11.09,8.51,0.000
连续变量,CES-D总分(0-30),SD,6.75,6.18,
连续变量,CES-D总分(0-30),Median,10.00,8.00,
连续变量,CES-D总分(0-30),P25/P75,6.00/16.00,3.00/13.00,
连续变量,自评健康(0-1),Mean,0.40,0.44,0.000
连续变量,自评健康(0-1),SD,0.22,0.21,
连续变量,自评健康(0-1),Median,0.50,0.50,
连续变量,自评健康(0-1),P25/P75,0.25/0.50,0.25/0.50,
二元变量,女性(%),比例,61.7%,43.3%,0.000
二元变量,农村(%),比例,70.2%,50.5%,0.000
二元变量,已婚/有配偶(%),比例,73.5%,82.8%,0.000
二元变量,独居(%),比例,14.3%,6.5%,0.000
二元变量,子女或子女配偶同住(%),比例,76.1%,83.3%,0.000
二元变量,子女同住或同院相邻(cb053)(%),比例,12.4%,8.4%,0.000
二元变量,高学历子女在身边(%),比例,0.4%,12.6%,0.000
二元变量,收到子女经济支持(%),比例,55.0%,46.6%,0.000
二元变量,ADL至少一项受限(%),比例,35.4%,22.9%,0.000
二元变量,IADL至少一项受限(%),比例,41.1%,26.2%,0.000
二元变量,自评健康差(%),比例,45.4%,34.7%,0.000
二元变量,自评健康一般(%),比例,41.5%,50.0%,0.000
二元变量,自评健康好(%),比例,13.0%,15.0%,0.040
二元变量,年龄60-69(%),比例,52.2%,68.9%,0.000
二元变量,年龄70-79(%),比例,36.6%,25.2%,0.000
二元变量,年龄80+(%),比例,11.2%,5.9%,0.000
二元变量,未受教育(%),比例,92.8%,32.1%,0.000
二元变量,小学(%),比例,4.9%,35.9%,0.000
二元变量,初中及以上(%),比例,2.3%,31.8%,0.000
分组变量,年龄组(60-69/70-79/80+),组间卡方P值,,,0.000
分组变量,教育(未受/小学/初中及以上),组间卡方P值,,,0.000
分组变量,自评健康(差/一般/好),组间卡方P值,,,0.000
分组变量,子女联系频率(非共居子女中最频繁),组间卡方P值,,,0.000
子女联系频率,几乎每天(%),比例,4.8%,9.7%,
子女联系频率,每周1-3次(%),比例,15.2%,22.2%,
子女联系频率,每月1-2次(%),比例,14.3%,12.6%,
子女联系频率,更少或几乎不(%),比例,18.4%,8.2%,
子女联系频率,全部子女同住/相邻(无非同住子女)(%),比例,41.9%,43.3%,
家庭照护,功能困难者中：有子女帮助(%),比例,49.9%,53.5%,0.410
家庭照护,功能困难者中：子女配偶/孙辈帮助(%),比例,31.4%,34.7%,0.421
家庭照护,功能困难者中：无人帮助(%),比例,29.3%,25.3%,0.306
家庭照护,功能困难者人数(N),人数,1100,1083,
家庭照护,"子女帮助天数(过去一月, 有子女帮助者, 均值)",Mean,20.95,26.29,0.001
家庭照护,"子女帮助天数(过去一月, 有子女帮助者, 中位数)",Median,30.00,30.00,
连续变量,"子女经济支持金额(全部样本, 元)",Mean,2054.22,2773.64,0.006
连续变量,"子女经济支持金额(全部样本, 元)",Median,251.00,0.00,
连续变量,"子女经济支持金额(有支持者, 元)",Mean,3686.84,5872.49,
