dimension,model,outcome,ATT1_minus_ATT0,SE,ci_low,ci_high,pval
Dmat,TWFE,bhci_fixed,0.0017184774432686331,0.018464259622026604,-0.03447080641710065,0.03790776130363792,0.9260200052320039
Dmat,CSDID,bhci_fixed,0.0118701580707724,0.009239223724053674,-0.006238387673480832,0.029978703815025633,0.20145898467977438
Dskill,TWFE,bhci_fixed,-0.0010652722949196052,0.013709208977437886,-0.027934828147231038,0.025804283557391828,0.93820147092467
Dskill,CSDID,bhci_fixed,8.815526204812747e-4,0.0074843193960440505,-0.01378744384455963,0.01555054908552218,0.9064422172448305
Dsocial,TWFE,bhci_fixed,-0.039578437816006895,0.020104990873131216,-0.07898349583685056,-1.733797951632282e-4,0.051449150189724804
Dsocial,CSDID,bhci_fixed,-0.004136314461244073,0.03569325181188387,-0.07409380250365546,0.06582117358116732,0.9079457581211776
Dmat,TWFE,func_cap,0.001994204851131356,0.020495714050250722,-0.038176656524791616,0.04216506622705432,0.922664715498177
Dmat,CSDID,func_cap,-0.018738192813658336,0.015063736218493547,-0.04826257327451727,0.010786187647200598,0.21605589999030103
Dskill,TWFE,func_cap,-0.029494534332796467,0.012248957546659308,-0.0535020499724088,-0.005487018693184131,0.017676580167625314
Dskill,CSDID,func_cap,-0.02714014554774497,0.009682169588360335,-0.04611684923314022,-0.008163441862349716,0.005941982528217907
Dsocial,TWFE,func_cap,-0.0597681506597999,0.02547968814703165,-0.10970742176529402,-0.009828879554305774,0.020734218103324018
Dsocial,CSDID,func_cap,-0.021009039879336555,0.04770330807036991,-0.11450580564068046,0.07248772588200735,0.6604664975940056
