dimension,state,model,outcome,N,Treated_N_pw,Control_N_pw,ATT,SE,ci_low,ci_high,pval
Dmat,0,TWFE,bhci_fixed,899,162,737,0.011336334613739061,0.015708798848601137,-0.01945234536990343,0.04212501459738155,0.47278067258466405
Dmat,0,CSDID,bhci_fixed,2335,257,2078,0.00871428964369511,0.01206398975840299,-0.014930695792634814,0.032359275080025035,0.47195888356856586
Dmat,0.5,TWFE,bhci_fixed,4216,449,3767,0.01334255535621142,0.008121776446281516,-0.0025758339689860577,0.0292609446814089,0.10335737074266022
Dmat,0.5,CSDID,bhci_fixed,14554,994,13560,0.008614158414299453,0.005896517342545526,-0.0029428032113056057,0.02017112003990451,0.14677271304022146
Dmat,1,TWFE,bhci_fixed,1266,131,1135,0.02031081744720511,0.0169696608573642,-0.012949106663087812,0.05357074155749804,0.2347983184209884
Dmat,1,CSDID,bhci_fixed,7957,502,7455,0.026110814874073855,0.007561879898137411,0.011289802618307119,0.04093182712984059,7.834883926639694e-4
Dskill,0,TWFE,bhci_fixed,1344,196,1148,-0.0027320965988240423,0.01160700158335938,-0.025481401670707806,0.02001720847305972,0.8144231391227533
Dskill,0,CSDID,bhci_fixed,5681,477,5204,3.673806683864328e-4,0.007391157702103011,-0.01411902223179129,0.014853783568564156,0.960445663619115
Dskill,0.5,TWFE,bhci_fixed,1589,174,1415,0.02507472573987976,0.010107937773824308,0.005263531745212151,0.04488591973454737,0.014685324520818997
Dskill,0.5,CSDID,bhci_fixed,6067,414,5653,0.017940829715718153,0.008153899519221885,0.0019594803244847997,0.03392217910695151,0.0297862981105263
Dskill,1,TWFE,bhci_fixed,3448,372,3076,0.015117024918088582,0.01028045855103575,-0.005032303586498312,0.03526635342267548,0.14439884239217687
Dskill,1,CSDID,bhci_fixed,13098,862,12236,0.017237983109336944,0.0061762421222872335,0.005132770989854742,0.029343195228819147,0.006178631759517385
Dsocial,0,TWFE,bhci_fixed,37,6,31,0.056786812179246894,0.03835815634874226,-0.018393792777644337,0.13196741713613813,0.17702778222463636
Dsocial,0,CSDID,bhci_fixed,132,15,117,0.016768472131052346,0.04096458922470702,-0.06352064739085098,0.09705759165295566,0.6871194936859382
Dsocial,0.5,TWFE,bhci_fixed,2907,324,2583,0.0044785571133166184,0.010125736751964714,-0.015367522237467804,0.02432463646410104,0.6591525231214888
Dsocial,0.5,CSDID,bhci_fixed,11678,780,10898,0.008711840163753906,0.0064961560481670635,-0.00402039172860558,0.021444072056113393,0.18253845290431017
Dsocial,1,TWFE,bhci_fixed,3437,412,3025,0.0203942507280767,0.008412281435870715,0.0039064820859552075,0.036882019370198194,0.016921494602144784
Dsocial,1,CSDID,bhci_fixed,13036,958,12078,0.01728186532963674,0.005152601310036387,0.007182952335271522,0.027380778324001955,0.001079260633600586
Dmat,0,TWFE,func_cap,968,184,784,6.030322660156536e-4,0.020427999109738956,-0.03943511026528898,0.04064117479732028,0.9765283693061299
Dmat,0,CSDID,func_cap,2496,291,2205,0.012441654339146298,0.017263723255536906,-0.021394621480772605,0.0462779301590652,0.47297297549377804
Dmat,0.5,TWFE,func_cap,4501,504,3997,0.022110119549195884,0.01061131027035177,0.0013123335905264356,0.04290790550786533,0.03957525314771827
Dmat,0.5,CSDID,func_cap,15426,1103,14323,0.017602443161036138,0.009603086798694972,-0.0012192611048180459,0.03642414742689032,0.06938945902057056
Dmat,1,TWFE,func_cap,1361,150,1211,0.03237624055351047,0.021297204375414405,-0.009365512993690615,0.07411799410071154,0.13212620113790371
Dmat,1,CSDID,func_cap,8703,604,8099,0.025920441615767092,0.011403193390684255,0.003570593261280775,0.04827028997025341,0.02492821934314656
Dskill,0,TWFE,func_cap,1412,217,1195,0.0026711830010206117,0.011783122881924306,-0.020423313472960832,0.025765679475002055,0.8211474737300819
Dskill,0,CSDID,func_cap,5976,527,5449,0.017773684342711395,0.011322582013315123,-0.004418168615387255,0.039965537300810046,0.11929297793175393
Dskill,0.5,TWFE,func_cap,1640,191,1449,0.025411624568505573,0.01781461039589545,-0.009504370206062335,0.060327619343073485,0.1566502289335258
Dskill,0.5,CSDID,func_cap,6302,457,5845,0.003626737623387184,0.013325258825401474,-0.022490289759074203,0.02974376500584857,0.7859792508932196
Dskill,1,TWFE,func_cap,3778,430,3348,0.022996657085754706,0.012953308644442137,-0.0023913613379832263,0.04838467550949264,0.07868329596388005
Dskill,1,CSDID,func_cap,14347,1014,13333,0.02672422958998048,0.009982321597613423,0.007159238776561841,0.04628922040339912,0.008520750573617666
Dsocial,0,TWFE,func_cap,38,7,31,0.07143604414883144,0.04703624803317275,-0.020753307964080092,0.16362539626174297,0.1631430951863786
Dsocial,0,CSDID,func_cap,136,17,119,0.05466594801389932,0.07916939343625212,-0.10050321179903657,0.2098351078268352,0.4982330763135494
Dsocial,0.5,TWFE,func_cap,3062,362,2700,0.024055456369396443,0.013380995935927495,-0.002170813742298272,0.05028172648109116,0.0749878536270778
Dsocial,0.5,CSDID,func_cap,12319,874,11445,0.011456307190291858,0.009967675319191077,-0.008079977444911436,0.03099259182549515,0.2527981183861018
Dsocial,1,TWFE,func_cap,3730,469,3261,0.01684367219391911,0.01241903252480379,-0.007497184277527848,0.041184528665366066,0.1777142489194962
Dsocial,1,CSDID,func_cap,14170,1107,13063,0.02751688798516314,0.009225222420551892,0.009435784291510013,0.045597991678816265,0.003488217671139115
