dvi3_total,pattern_id,outcome,N_person_wave,Treated_N_pw,Control_N_pw,N_baseline,ATT,SE,ci_low,ci_high,pval,p_fdr
0.5,0.5_0.5_0.5,bhci_fixed,1942,121,1821,341,0.004436435136863257,0.01555543753840121,-0.026051662202165503,0.034924532475892014,0.7761105793351943,0.7761105793351943
0.5,0.5_0_1,bhci_fixed,1601,152,1449,318,0.006770256025401875,0.014361884903045921,-0.021378521134677652,0.0349190331854814,0.6385055070130277,0.7761105793351943
0.5,1_0_0.5,bhci_fixed,569,29,540,110,-0.029286614417137882,0.02337620949156834,-0.07510314311567519,0.016529914281399424,0.215379958439677,0.7761105793351943
0.5,0_1_0.5,bhci_fixed,358,33,325,76,0.015379562337810924,0.03741774759048574,-0.0579578753221515,0.08871699999777335,0.6830505583056654,0.7761105793351943
0.5,0_0.5_1,bhci_fixed,293,21,272,54,-0.019735188794646502,0.03734612548824933,-0.09293224971372852,0.05346187212443551,0.6004368029176954,0.7761105793351943
0.5,0.5_0.5_0.5,func_cap,1989,134,1855,341,-0.015148461971489485,0.020537463671965822,-0.055401151102342214,0.025104227159363248,0.46257470440144366,0.9114696098225672
0.5,0.5_0_1,func_cap,1671,162,1509,318,0.03479800738377927,0.021593383200462647,-0.0075242459934997535,0.0771202607610583,0.11053125619247921,0.552656280962396
0.5,1_0_0.5,func_cap,601,37,564,110,0.0013507353060559278,0.026934946995269212,-0.05144079073016706,0.05414226134227892,0.960179721183589,0.960179721183589
0.5,0_1_0.5,func_cap,381,40,341,76,0.016335019686800588,0.05932701168261462,-0.09994378652151106,0.13261382589511225,0.784316437303185,0.960179721183589
0.5,0_0.5_1,func_cap,300,22,278,54,0.029049267822838454,0.04776371982295945,-0.06456590279782388,0.12266443844350079,0.5468817658935403,0.9114696098225672
0.6667,0.5_1_0.5,bhci_fixed,3153,185,2968,593,-0.0018182515478643545,0.013346012987966326,-0.02797595634148214,0.024339453245753432,0.8918980294655929,0.9168754258229619
0.6667,0.5_0.5_1,bhci_fixed,1945,132,1813,363,0.02767239735769323,0.013023423457445567,0.002146956425685815,0.05319783828970065,0.03628265703414456,0.1814132851707228
0.6667,1_0.5_0.5,bhci_fixed,672,38,634,129,0.023893228830287487,0.023184250477353664,-0.02154706711388124,0.06933352477445621,0.30655732434658994,0.66934810502901
0.6667,1_0_1,bhci_fixed,519,29,490,114,-0.02168587352847542,0.025647269102860578,-0.07195359727188905,0.0285818502149382,0.40160886301740595,0.66934810502901
0.6667,0_1_1,bhci_fixed,371,45,326,85,0.0030518771717550673,0.029065412710767458,-0.05391528493714184,0.06001903928065198,0.9168754258229619,0.9168754258229619
0.6667,0.5_1_0.5,func_cap,3345,204,3141,593,0.01632660536145869,0.019142998045045483,-0.021192981362951113,0.053846192085868494,0.3957069519546308,0.6595115865910514
0.6667,0.5_0.5_1,func_cap,2017,142,1875,363,0.013687274066455398,0.02187703267865068,-0.029190922072305753,0.056565470205216545,0.5330796522654,0.6663495653317499
0.6667,1_0.5_0.5,func_cap,716,44,672,129,0.061323147871243225,0.04696388985673161,-0.030724384821856673,0.1533706805643431,0.19603754510928806,0.49009386277322015
0.6667,1_0_1,func_cap,578,35,543,114,0.047501004406370194,0.03468402289764103,-0.020478431311968782,0.11548044012470918,0.17629908316194604,0.49009386277322015
0.6667,0_1_1,func_cap,431,58,373,85,9.706070313931601e-4,0.04133994957939473,-0.08005420526692224,0.08199541932970857,0.9813746099579431,0.9813746099579431
0.8333,0.5_1_1,bhci_fixed,3921,262,3659,790,0.010772518299468077,0.009551408851209836,-0.00794789905052029,0.029492935649456445,0.2620053399070264,0.2620053399070264
0.8333,1_1_0.5,bhci_fixed,2175,129,2046,430,0.04287405168835596,0.015641530500806806,0.01221721524368987,0.07353088813302205,0.007401635404761295,0.022204906214283886
0.8333,1_0.5_1,bhci_fixed,900,69,831,184,0.02198858572307342,0.018654156528050424,-0.014572889233878145,0.05855006068002498,0.24248905705074777,0.2620053399070264
0.8333,0.5_1_1,func_cap,4333,304,4029,790,0.03385685925502488,0.0161891572630255,0.0021266940794398698,0.06558702443060989,0.038911323833770196,0.1167339715013106
0.8333,1_1_0.5,func_cap,2365,151,2214,430,0.018791169528230695,0.02507451011243772,-0.030353967222132603,0.067936306278594,0.4555625683663804,0.4555625683663804
0.8333,1_0.5_1,func_cap,949,80,869,184,-0.037372500913253524,0.0282435330060678,-0.09272880840131469,0.017983806574807637,0.19000666840455613,0.2850100026068342
1,1_1_1,bhci_fixed,3120,208,2912,661,0.03228920155009225,0.012080654582406725,0.008611553658906312,0.055966849441278194,0.008868486965755165,0.008868486965755165
1,1_1_1,func_cap,3492,257,3235,661,0.04138268339538411,0.021243308389723096,-2.534359609507181e-4,0.08301880275171894,0.05418657229913521,0.05418657229913521
