dvi3_total,outcome,reference,contrast,diff,SE,pval,N,p_fdr
0.5,bhci_fixed,0.5_0.5_0.5,0.5_0_1,0.01947508485406349,0.01619941551156897,0.23177377017494905,4665,0.9167118364651445
0.5,bhci_fixed,0.5_0.5_0.5,1_0_0.5,-0.012412851806362236,0.021424189700799824,0.5634726725212815,4665,0.9167118364651445
0.5,bhci_fixed,0.5_0.5_0.5,0_1_0.5,0.007415157551723454,0.02549497596575112,0.7716962053750924,4665,0.9167118364651445
0.5,bhci_fixed,0.5_0.5_0.5,0_0.5_1,0.0037532549753927194,0.03581054966028382,0.9167118364651445,4665,0.9167118364651445
0.5,bhci_fixed,0.5_0.5_0.5,joint_all,NA,NA,0.6542035752187605,4665,0.9167118364651445
0.5,func_cap,0.5_0.5_0.5,0.5_0_1,0.04889995156971079,0.020507189061558323,0.0187516168356907,4862,0.0937580841784535
0.5,func_cap,0.5_0.5_0.5,1_0_0.5,0.02795752918115219,0.027412131498986077,0.30993722040564436,4862,0.38742152550705544
0.5,func_cap,0.5_0.5_0.5,0_1_0.5,0.0059805631232389845,0.0372621734719445,0.8727716144541916,4862,0.8727716144541916
0.5,func_cap,0.5_0.5_0.5,0_0.5_1,0.05432635679390865,0.04364738320315649,0.21580775748326966,4862,0.35967959580544945
0.5,func_cap,0.5_0.5_0.5,joint_all,NA,NA,0.19144116631859961,4862,0.35967959580544945
0.6667,bhci_fixed,0.5_1_0.5,0.5_0.5_1,0.03557036864781286,0.013175690506121177,0.007997213102246447,6405,0.03998606551123224
0.6667,bhci_fixed,0.5_1_0.5,1_0.5_0.5,0.016285930114249864,0.020228369187484566,0.42243597130453614,6405,0.7040599521742269
0.6667,bhci_fixed,0.5_1_0.5,1_0_1,0.007726614251896681,0.02096174711301125,0.7131054689275672,6405,0.7228419803603358
0.6667,bhci_fixed,0.5_1_0.5,0_1_1,-0.007840232118316751,0.022051607314075003,0.7228419803603358,6405,0.7228419803603358
0.6667,bhci_fixed,0.5_1_0.5,joint_all,NA,NA,0.06954369123046357,6405,0.17385922807615892
0.6667,func_cap,0.5_1_0.5,0.5_0.5_1,0.013490236384623775,0.018952389052178026,0.4780451440282433,6919,0.6838076071391883
0.6667,func_cap,0.5_1_0.5,1_0.5_0.5,0.009412669289659822,0.04402534741849562,0.8310840598587246,6919,0.8310840598587246
0.6667,func_cap,0.5_1_0.5,1_0_1,0.03616045691461959,0.026468627361651134,0.17457673471627796,6919,0.6838076071391883
0.6667,func_cap,0.5_1_0.5,0_1_1,-0.020086228574083376,0.03325554161719985,0.5470460857113506,6919,0.6838076071391883
0.6667,func_cap,0.5_1_0.5,joint_all,NA,NA,0.4978749894876542,6919,0.6838076071391883
0.8333,bhci_fixed,0.5_1_1,1_1_0.5,0.011839869728671262,0.013962658071094567,0.39828130372823334,6686,0.5068797681821823
0.8333,bhci_fixed,0.5_1_1,1_0.5_1,0.015599027544661706,0.017883678637623038,0.38495520241359094,6686,0.5068797681821823
0.8333,bhci_fixed,0.5_1_1,joint_all,NA,NA,0.5068797681821823,6686,0.5068797681821823
0.8333,func_cap,0.5_1_1,1_1_0.5,-0.022325769557479683,0.01961665033782874,0.2575061665303321,7452,0.3328215867400648
0.8333,func_cap,0.5_1_1,1_0.5_1,-0.03615123301595839,0.030312148486254905,0.2355341716746258,7452,0.3328215867400648
0.8333,func_cap,0.5_1_1,joint_all,NA,NA,0.3328215867400648,7452,0.3328215867400648
