dimension,state,model,outcome,N,Treated_N_pw,Control_N_pw,ATT,SE,ci_low,ci_high,pval,pre_trend_p,p_fdr
Dmat,0,CSDID,bhci_fixed,2335,257,2078,0.00871428964369511,0.01206398975840299,-0.014930695792634814,0.032359275080025035,0.47195888356856586,0.0031719759472075854,0.6068042788738705
Dmat,0,TWFE,bhci_fixed,1179,208,971,0.005608432695578983,0.013278796973526904,-0.020417531130553213,0.03163439652171118,0.6739095798482639,NA,0.7581482773292969
Dmat,0.5,CSDID,bhci_fixed,14554,994,13560,0.008614158414299453,0.005896517342545526,-0.0029428032113056057,0.02017112003990451,0.14677271304022146,0.6550936937894142,0.26419088347239866
Dmat,0.5,TWFE,bhci_fixed,7591,807,6784,0.008729830499689256,0.005882206159349588,-0.0027990817222756075,0.02025874272165412,0.14051596001224986,NA,0.25292872802204974
Dmat,1,CSDID,bhci_fixed,7957,502,7455,0.026110814874073855,0.007561879898137411,0.011289802618307119,0.04093182712984059,7.834883926639694e-4,0.8950939265150177,0.004856672851202636
Dmat,1,TWFE,bhci_fixed,4175,421,3754,0.02036935921596717,0.008493275637835796,0.0037228448550375576,0.037015873576896785,0.01818642299714271,NA,0.05455926899142813
Dskill,0,CSDID,bhci_fixed,5681,477,5204,3.673806683864328e-4,0.007391157702103011,-0.01411902223179129,0.014853783568564156,0.960445663619115,0.22916561022271106,0.960445663619115
Dskill,0,TWFE,bhci_fixed,3057,390,2667,6.821502062833715e-4,0.007236999900763351,-0.013502108955332739,0.014866409367899482,0.9250751380883913,NA,0.9250751380883913
Dskill,0.5,CSDID,bhci_fixed,6067,414,5653,0.017940829715718153,0.008153899519221885,0.0019594803244847997,0.03392217910695151,0.0297862981105263,0.15080260355125416,0.06701917074868417
Dskill,0.5,TWFE,bhci_fixed,3209,342,2867,0.024114711042436357,0.00815053310245953,0.008139959706814172,0.04008946237805854,0.0037579665386417525,NA,0.016910849423887885
Dskill,1,CSDID,bhci_fixed,13098,862,12236,0.017237983109336944,0.0061762421222872335,0.005132770989854742,0.029343195228819147,0.006178631759517385,0.2674609648034065,0.018535895278552157
Dskill,1,TWFE,bhci_fixed,6679,704,5975,0.010675634149644939,0.0071370168794797845,-0.0033126618911898786,0.024663930190479758,0.1375405367576945,NA,0.25292872802204974
Dsocial,0,CSDID,bhci_fixed,132,15,117,0.016768472131052346,0.04096458922470702,-0.06352064739085098,0.09705759165295566,0.6871194936859382,0.424536664770192,0.7730094303966805
Dsocial,0,TWFE,bhci_fixed,82,13,69,0.027999500546999356,0.041340621619840257,-0.05302662892638543,0.10902563002038415,0.5068356910830539,NA,0.7013533862386268
Dsocial,0.5,CSDID,bhci_fixed,11678,780,10898,0.008711840163753906,0.0064961560481670635,-0.00402039172860558,0.021444072056113393,0.18253845290431017,0.9345395042621137,0.27380767935646527
Dsocial,0.5,TWFE,bhci_fixed,6113,632,5481,0.0041726466724236345,0.006881917992437677,-0.009315664737312402,0.017660958082159672,0.5454970781855986,NA,0.7013533862386268
Dsocial,1,CSDID,bhci_fixed,13036,958,12078,0.01728186532963674,0.005152601310036387,0.007182952335271522,0.027380778324001955,0.001079260633600586,0.8415708598053366,0.004856672851202636
Dsocial,1,TWFE,bhci_fixed,6750,791,5959,0.01717843515950448,0.005561415668423542,0.00627826074633759,0.028078609572671373,0.0025194970405223406,NA,0.016910849423887885
Dmat,0,CSDID,func_cap,2496,291,2205,0.012441654339146298,0.017263723255536906,-0.021394621480772605,0.0462779301590652,0.47297297549377804,0.8263095593449017,0.560512210852743
Dmat,0,TWFE,func_cap,1264,237,1027,5.438278617286641e-4,0.017161798732295834,-0.03309267956349632,0.03418033528695365,0.9747995677442831,NA,0.9747995677442831
Dmat,0.5,CSDID,func_cap,15426,1103,14323,0.017602443161036138,0.009603086798694972,-0.0012192611048180459,0.03642414742689032,0.06938945902057056,0.7727275057584149,0.15612628279628377
Dmat,0.5,TWFE,func_cap,8039,897,7142,0.01595430550158866,0.008930707810951549,-0.001549560164326915,0.03345817116750424,0.07666061723040866,NA,0.16787118544900237
Dmat,1,CSDID,func_cap,8703,604,8099,0.025920441615767092,0.011403193390684255,0.003570593261280775,0.04827028997025341,0.02492821934314656,0.941613640620904,0.07478465802943968
Dmat,1,TWFE,func_cap,4541,500,4041,0.026444828786546724,0.010971093557357932,0.004941880543105761,0.04794777702998769,0.01759264937144448,NA,0.07916692217150016
Dskill,0,CSDID,func_cap,5976,527,5449,0.017773684342711395,0.011322582013315123,-0.004418168615387255,0.039965537300810046,0.11929297793175393,0.6386594804378559,0.21472736027715708
Dskill,0,TWFE,func_cap,3220,437,2783,0.01993599654290068,0.010109653421075606,1.2143994141034994e-4,0.03975055314439101,0.051099914416475406,NA,0.15329974324942622
Dskill,0.5,CSDID,func_cap,6302,457,5845,0.003626737623387184,0.013325258825401474,-0.022490289759074203,0.02974376500584857,0.7859792508932196,9.271803963684307e-4,0.7859792508932196
Dskill,0.5,TWFE,func_cap,3326,374,2952,0.020625902310257557,0.012185883943072585,-0.0032579913379496457,0.04450979595846476,0.0932617696938902,NA,0.16787118544900237
Dskill,1,CSDID,func_cap,14347,1014,13333,0.02672422958998048,0.009982321597613423,0.007159238776561841,0.04628922040339912,0.008520750573617666,0.1341758940130021,0.038343377581279495
Dskill,1,TWFE,func_cap,7298,823,6475,0.014834850959534428,0.01014711051545217,-0.005053120197899483,0.03472282211696834,0.14652278220317155,NA,0.21978417330475733
Dsocial,0,CSDID,func_cap,136,17,119,0.05466594801389932,0.07916939343625212,-0.10050321179903657,0.2098351078268352,0.4982330763135494,0.6693898151085511,0.560512210852743
Dsocial,0,TWFE,func_cap,85,15,70,0.08897802653027637,0.06895390021786607,-0.04616913449030968,0.22412518755086241,0.21239567644843943,NA,0.27308015543370784
Dsocial,0.5,CSDID,func_cap,12319,874,11445,0.011456307190291858,0.009967675319191077,-0.008079977444911436,0.03099259182549515,0.2527981183861018,0.44815501644435873,0.37919717757915267
Dsocial,0.5,TWFE,func_cap,6444,713,5731,0.009528752367911886,0.009449994689489004,-0.008992896877581327,0.0280504016134051,0.31541098497024195,NA,0.35483735809152217
Dsocial,1,CSDID,func_cap,14170,1107,13063,0.02751688798516314,0.009225222420551892,0.009435784291510013,0.045597991678816265,0.003488217671139115,0.3350172714498392,0.03139395904025204
Dsocial,1,TWFE,func_cap,7315,906,6409,0.025171501274149004,0.009546748423002693,0.0064602181955991725,0.043882784352698836,0.009529523694600823,NA,0.07916692217150016
