model,outcome,term,est,SE,pval,N,p_fdr
CSDID_joint,bhci_fixed,treat_stack:Dmat,0.012245646807209649,0.008155575572201524,0.1359655081083324,23861,0.20394826216249862
CSDID_joint,bhci_fixed,treat_stack:Dskill,-0.004175312222385699,0.007816817212313776,0.5942724283520386,23861,0.5942724283520386
CSDID_joint,bhci_fixed,treat_stack:Dsocial,0.021643762617685552,0.010130027650675156,0.03475035445093317,23861,0.10425106335279952
TWFE_joint,bhci_fixed,treat:Dmat,0.012931870350850307,0.009419586452509038,0.17246388681724997,12447,0.25869583022587495
TWFE_joint,bhci_fixed,treat:Dskill,-0.007919545069549012,0.00911193569324401,0.38658107290551946,12447,0.38658107290551946
TWFE_joint,bhci_fixed,treat:Dsocial,0.02729230182822112,0.01225545418955114,0.027897875122549928,12447,0.08369362536764978
CSDID_joint,func_cap,treat_stack:Dmat,-0.014753390118714411,0.014241630872005234,0.30240634893118834,25974,0.30366170839510687
CSDID_joint,func_cap,treat_stack:Dskill,-0.023028048598464974,0.009814045227385724,0.02066537610281653,25974,0.06199612830844958
CSDID_joint,func_cap,treat_stack:Dsocial,0.01878950563451634,0.018185115138652876,0.30366170839510687,25974,0.30366170839510687
TWFE_joint,func_cap,treat:Dmat,-0.0016316535105605282,0.014105991348655072,0.9081150649656596,13507,0.9081150649656596
TWFE_joint,func_cap,treat:Dskill,-0.03324600892929548,0.01053077372616615,0.0020355327353663143,13507,0.006106598206098943
TWFE_joint,func_cap,treat:Dsocial,0.0181265344890994,0.019702417886651485,0.3594903706111233,13507,0.539235555916685
