"province","city","city_code","batch","note"
"云南省","保山市","530500","0",""
"云南省","楚雄彝族自治州","","0",""
"云南省","昭通市","530600","0",""
"云南省","昆明市","530100","0",""
"云南省","临沧市","530900","0",""
"云南省","丽江市","530700","0",""
"福建省","漳州市","350600","0",""
"福建省","莆田市","350300","2",""
"福建省","福州市","350100","1",""
"福建省","宁德市","350900","0",""
"青海省","海东地区","630200","0",""
"四川省","广安市","511600","0",""
"四川省","成都市","510100","1",""
"四川省","凉山彝族自治州","","0",""
"四川省","南充市","511300","3",""
"四川省","宜宾市","511500","2",""
"四川省","资阳市","512000","0",""
"四川省","内江市","511000","2",""
"四川省","甘孜藏族自治州","","0",""
"四川省","绵阳市","510700","2",""
"四川省","眉山市","511400","0",""
"河北省","保定市","130600","0",""
"河北省","石家庄市","130100","1",""
"河北省","沧州市","130900","0",""
"河北省","承德市","130800","0",""
"江西省","景德镇市","360200","0",""
"江西省","南昌市","360100","1",""
"江西省","宜春市","360900","0",""
"江西省","上饶市","361100","1",""
"江西省","九江市","360400","0",""
"江西省","吉安市","360800","3",""
"江西省","赣州市","360700","2",""
"新疆维吾尔自治区","阿克苏地区","","0",""
"北京","北京","110000","1",""
"内蒙古自治区","锡林郭勒盟","","0",""
"内蒙古自治区","呼和浩特市","150100","2",""
"内蒙古自治区","兴安盟","","0",""
"内蒙古自治区","赤峰市","150400","0",""
"内蒙古自治区","呼伦贝尔市","150700","0",""
"江苏省","苏州市","320500","1",""
"江苏省","徐州市","320300","0",""
"江苏省","泰州市","321200","0",""
"江苏省","盐城市","320900","0",""
"江苏省","宿迁市","321300","0",""
"江苏省","扬州市","321000","2",""
"江苏省","连云港市","320700","0",""
"重庆市","重庆市","500000","0","区级试点(江津/荣昌第二批,九龙坡/北碚第三批)，CHARLS无法按区拆分，暂按0处理，建议稳健性剔除"
"甘肃省","兰州市","620100","2",""
"甘肃省","定西市","621100","0",""
"甘肃省","平凉市","620800","0",""
"甘肃省","张掖市","620700","2",""
"黑龙江省","鸡西市","230300","0",""
"黑龙江省","齐齐哈尔市","230200","0",""
"黑龙江省","哈尔滨市","230100","1",""
"黑龙江省","哈尔滨","230100","1","与哈尔滨市为同一城市，保留双标签便于匹配"
"黑龙江省","佳木斯市","230800","0",""
"广东省","佛山市","440600","0",""
"广东省","深圳市","440300","1",""
"广东省","潮州市","445100","0",""
"广东省","广州市","440100","1",""
"广东省","茂名市","440900","0",""
"广东省","清远市","441800","0",""
"广东省","江门市","440700","0",""
"辽宁省","本溪市","210500","1",""
"辽宁省","鞍山市","210300","2",""
"辽宁省","大连市","210200","1",""
"辽宁省","朝阳市","211300","0",""
"辽宁省","锦州市","210700","0",""
"山西省","阳泉市","140300","3",""
"山西省","忻州市","140900","0",""
"山西省","运城市","140800","0",""
"山西省","临汾市","141000","0",""
"上海市","上海市","310000","1",""
"天津","天津","120000","1",""
"浙江省","湖州市","330500","0",""
"浙江省","宁波市","330200","0",""
"浙江省","杭州市","330100","3",""
"浙江省","丽水市","331100","0",""
"浙江省","嘉兴市","330400","2",""
"浙江省","台州市","331000","0",""
"吉林省","四平市","220300","0",""
"吉林省","吉林市","220200","0",""
"广西省","桂林市","450300","0",""
"广西省","河池市","451200","0",""
"广西省","南宁市","450100","0",""
"广西省","玉林市","450900","3",""
"安徽省","亳州市","341600","0",""
"安徽省","阜阳市","341200","0",""
"安徽省","淮南市","340400","0",""
"安徽省","安庆市","340800","1",""
"安徽省","宿州市","341300","3",""
"安徽省","六安市","341500","0",""
"安徽省","巢湖市","340100","2","2011年并入合肥市，随合肥按第二批处理，需在文中说明"
"湖北省","襄樊市","420600","2","襄樊市2010年更名襄阳市，对应第二批襄阳市"
"湖北省","恩施土家族苗族自治州","","0",""
"湖北省","黄冈市","421100","0",""
"湖北省","荆门市","420800","0",""
"陕西省","渭南市","610500","3",""
"陕西省","宝鸡市","610300","0",""
"陕西省","榆林市","610800","0",""
"陕西省","汉中市","610700","0",""
"山东省","滨州市","371600","0",""
"山东省","青岛市","370200","1",""
"山东省","济南市","370100","0",""
"山东省","枣庄市","370400","3",""
"山东省","临沂市","371300","1",""
"山东省","聊城市","371500","0",""
"山东省","威海市","371000","1",""
"山东省","潍坊市","370700","0",""
"山东省","德州市","371400","2",""
"河南省","安阳市","410500","0",""
"河南省","洛阳市","410300","1",""
"河南省","周口市","411600","0",""
"河南省","郑州市","410100","1",""
"河南省","濮阳市","410900","0",""
"河南省","平顶山市","410400","0",""
"河南省","焦作市","410800","3",""
"河南省","信阳市","411500","0",""
"湖南省","邵阳市","430500","0",""
"湖南省","岳阳市","430600","2",""
"湖南省","长沙市","430100","1",""
"湖南省","益阳市","430900","3",""
"湖南省","娄底市","431300","0",""
"湖南省","常德市","430700","0",""
"贵州省","黔南布依族苗族自治州","","0",""
"贵州省","黔东南苗族侗族自治州","","0",""
