"province","city","city_code","macro_city","match_status","batch","note"
"云南省","保山市","530500","保山市","matched","",""
"云南省","楚雄彝族自治州","","","unmatched","","宏观GDP/床位数据未覆盖自治州/盟/地区，需另行补充或从控制变量中剔除"
"云南省","昭通市","530600","昭通市","matched","",""
"云南省","昆明市","530100","昆明市","matched","",""
"云南省","临沧市","530900","临沧市","matched","",""
"云南省","丽江市","530700","丽江市","matched","",""
"福建省","漳州市","350600","漳州市","matched","",""
"福建省","莆田市","350300","莆田市","matched","",""
"福建省","福州市","350100","福州市","matched","",""
"福建省","宁德市","350900","宁德市","matched","",""
"青海省","海东地区","630200","海东市","matched","",""
"四川省","广安市","511600","广安市","matched","",""
"四川省","成都市","510100","成都市","matched","",""
"四川省","凉山彝族自治州","","","unmatched","","宏观GDP/床位数据未覆盖自治州/盟/地区，需另行补充或从控制变量中剔除"
"四川省","南充市","511300","南充市","matched","",""
"四川省","宜宾市","511500","宜宾市","matched","",""
"四川省","资阳市","512000","资阳市","matched","",""
"四川省","内江市","511000","内江市","matched","",""
"四川省","甘孜藏族自治州","","","unmatched","","宏观GDP/床位数据未覆盖自治州/盟/地区，需另行补充或从控制变量中剔除"
"四川省","绵阳市","510700","绵阳市","matched","",""
"四川省","眉山市","511400","眉山市","matched","",""
"河北省","保定市","130600","保定市","matched","",""
"河北省","石家庄市","130100","石家庄市","matched","",""
"河北省","沧州市","130900","沧州市","matched","",""
"河北省","承德市","130800","承德市","matched","",""
"江西省","景德镇市","360200","景德镇市","matched","",""
"江西省","南昌市","360100","南昌市","matched","",""
"江西省","宜春市","360900","宜春市","matched","",""
"江西省","上饶市","361100","上饶市","matched","",""
"江西省","九江市","360400","九江市","matched","",""
"江西省","吉安市","360800","吉安市","matched","",""
"江西省","赣州市","360700","赣州市","matched","",""
"新疆维吾尔自治区","阿克苏地区","","","unmatched","","宏观GDP/床位数据未覆盖自治州/盟/地区，需另行补充或从控制变量中剔除"
"北京","北京","110000","北京市","matched","",""
"内蒙古自治区","锡林郭勒盟","","","unmatched","","宏观GDP/床位数据未覆盖自治州/盟/地区，需另行补充或从控制变量中剔除"
"内蒙古自治区","呼和浩特市","150100","呼和浩特市","matched","",""
"内蒙古自治区","兴安盟","","","unmatched","","宏观GDP/床位数据未覆盖自治州/盟/地区，需另行补充或从控制变量中剔除"
"内蒙古自治区","赤峰市","150400","赤峰市","matched","",""
"内蒙古自治区","呼伦贝尔市","150700","呼伦贝尔市","matched","",""
"江苏省","苏州市","320500","苏州市","matched","",""
"江苏省","徐州市","320300","徐州市","matched","",""
"江苏省","泰州市","321200","泰州市","matched","",""
"江苏省","盐城市","320900","盐城市","matched","",""
"江苏省","宿迁市","321300","宿迁市","matched","",""
"江苏省","扬州市","321000","扬州市","matched","",""
"江苏省","连云港市","320700","连云港市","matched","",""
"重庆市","重庆市","500000","重庆市","matched","",""
"甘肃省","兰州市","620100","兰州市","matched","",""
"甘肃省","定西市","621100","定西市","matched","",""
"甘肃省","平凉市","620800","平凉市","matched","",""
"甘肃省","张掖市","620700","张掖市","matched","",""
