sample,dvi3,n
chronic_baseline,0,32
chronic_baseline,0.1667,149
chronic_baseline,0.25,63
chronic_baseline,0.3333,516
chronic_baseline,0.5,974
chronic_baseline,0.6667,1284
chronic_baseline,0.75,127
chronic_baseline,0.8333,1404
chronic_baseline,1,750
chronic_person_wave,0,49
chronic_person_wave,0.1667,344
chronic_person_wave,0.25,126
chronic_person_wave,0.3333,1192
chronic_person_wave,0.5,2344
chronic_person_wave,0.6667,3065
chronic_person_wave,0.75,244
chronic_person_wave,0.8333,3350
chronic_person_wave,1,1710
