model,term,est,se,pval,n
bhci_fixed_twfe_bench,treat,0.002128455312424657,0.008797229828759641,0.8092566370880714,15083
bhci_fixed_twfe_bench,treat:dvi3,0.015555591085583242,0.012279389756560581,0.20780710982645137,15083
bhci_fixed_twfe_ext,treat,0.03033331596058592,0.07287324683515854,0.6780114212530195,12562
bhci_fixed_twfe_ext,treat:dvi3,0.04574789948878668,0.01918556925657618,0.018753167316929123,12562
bhci_fixed_stack,treat_stack,0.003012241613325209,0.009105240963429953,0.7413786600360887,24539
bhci_fixed_stack,treat_stack:dvi3,0.01580228109284504,0.012367584205061994,0.20392225336348171,24539
bhci_fixed_stack_ext,treat_stack,0.019013672522879933,0.011131262482051327,0.09030971053126621,20509
bhci_fixed_stack_ext,treat_stack:dvi3,0.008370448129221724,0.014623753772941419,0.5681770594531506,20509
func_cap_twfe_bench,treat,0.03881322924251794,0.01339837868392326,0.004520150408297632,16957
func_cap_twfe_bench,treat:dvi3,-0.03128653356541179,0.018221300755575234,0.08868919153155089,16957
func_cap_twfe_ext,treat,0.3436022380241537,0.10549747326853426,0.0014835850725492896,14015
func_cap_twfe_ext,treat:dvi3,0.03704573957390401,0.024681244222507514,0.13612870006779565,14015
func_cap_stack,treat_stack,0.04055996156601577,0.013623725769169752,0.003548201967520702,27498
func_cap_stack,treat_stack:dvi3,-0.0322623846585505,0.018247345533935207,0.0797029130000544,27498
func_cap_stack_ext,treat_stack,0.04807666717041254,0.015642394387809344,0.0026424628073625756,22821
func_cap_stack_ext,treat_stack:dvi3,-0.031139220191836903,0.020502852962460197,0.1315636232768832,22821
