outcome,dvi3,cov_used,baseline_n,ATT,SE,ci_low,ci_high,pval,N_obs,est_method,control_group,bstrap,note,p_fdr
bhci_fixed,0,main_fallback,9,0.045506406011746436,0.06764532866450816,-0.08707843817068955,0.17809125019418243,0.5011250602055779,51,ipw,notyettreated,TRUE,,0.6681667469407705
bhci_fixed,0.1667,ext,146,-0.0043522902919186715,0.025397885340504897,-0.054132145559308266,0.04542756497547092,0.86393734104913,356,reg,notyettreated,TRUE,,0.86393734104913
bhci_fixed,0.25,ext,4,-0.05876765109484012,0.06364373383895913,-0.1835093694192,0.06597406722951979,0.35580675380791904,72,reg,notyettreated,TRUE,,0.5692908060926705
bhci_fixed,0.3333,ext,506,-0.02801261478484112,0.028929676123768202,-0.0847147799874268,0.028689550417744555,0.3328944026530177,1351,dr,nevertreated,TRUE,,0.5692908060926705
bhci_fixed,0.5,ext,893,0.03731170228578787,0.01994713718651035,-0.001784686599772413,0.07640809117134814,0.06141036792889335,2591,dr,nevertreated,TRUE,,0.2456414717155734
bhci_fixed,0.6667,ext,1266,0.004639615645015658,0.012065865690742588,-0.019009481108839814,0.02828871239887113,0.7005900678447035,3441,dr,nevertreated,TRUE,,0.8006743632510896
bhci_fixed,0.75,main_fallback,12,-0.07138592674472151,0.04838137630143605,-0.16621342429553618,0.02344157080609316,0.14008257717257416,158,dr,nevertreated,TRUE,,0.3735535391268644
bhci_fixed,0.8333,ext,1371,0.022795326999024368,0.011645715450704442,-3.0275284356336835e-5,0.045620929282405076,0.050300422427609764,3497,dr,nevertreated,TRUE,,0.2456414717155734
bhci_fixed,1,failed,656,NA,NA,NA,NA,NA,2054,NA,NA,NA,CS-DID failed for this cell; see stacked by-value table / pooled High group,NA
func_cap,0,main_fallback,29,0.02678224170961361,0.1471136763631166,-0.26156056396209487,0.31512504738132213,0.8555424366358495,74,ipw,notyettreated,TRUE,,0.8555424366358495
func_cap,0.1667,ext,148,-0.014338341256142667,0.05553112174884698,-0.12317933988388274,0.09450265737159741,0.7962497003787692,374,reg,notyettreated,TRUE,,0.8555424366358495
func_cap,0.25,ext,62,0.18597214904244128,0.09921883503364734,-0.008496767623507512,0.3804410657083901,0.06088035996282634,143,reg,notyettreated,TRUE,,0.48704287970261073
func_cap,0.3333,ext,511,0.013629763440912929,0.040060807423903076,-0.06488941910993709,0.09214894599176296,0.7336856785053474,1411,dr,nevertreated,TRUE,,0.8555424366358495
func_cap,0.5,ext,966,-0.0038381183255202563,0.020179009471766245,-0.0433889768901821,0.03571274023914158,0.8491496647996466,2773,dr,nevertreated,TRUE,,0.8555424366358495
func_cap,0.6667,ext,1275,0.010737090029590172,0.015412487280139912,-0.019471385039484056,0.0409455650986644,0.48602263797167766,3661,dr,nevertreated,TRUE,,0.8555424366358495
func_cap,0.75,ext,124,0.0782480515809498,0.23996346898614518,-0.3920803476318947,0.5485764507937944,0.7443614208756754,235,reg,notyettreated,TRUE,,0.8555424366358495
func_cap,0.8333,ext,1394,0.014655493867064875,0.015939951197085533,-0.016586810479222766,0.04589779821335252,0.35787645907394483,3821,dr,nevertreated,TRUE,,0.8555424366358495
func_cap,1,failed,746,NA,NA,NA,NA,NA,2444,NA,NA,NA,CS-DID failed for this cell; see stacked by-value table / pooled High group,NA
