outcome,dvi3,ATT,SE,pval,N_obs,p_fdr
bhci_fixed,0,-0.003243317367179686,0.05644495433551234,0.9550527151156264,69,0.9550527151156264
bhci_fixed,0.1667,0.003527685929235272,0.014395662486991291,0.8073995332996253,659,0.9550527151156264
bhci_fixed,0.25,0.029862264707991738,0.03160152154027201,0.35337736565211897,160,0.6269973728622737
bhci_fixed,0.3333,0.008896347612810739,0.0104914431711475,0.3985682694315975,2482,0.6269973728622737
bhci_fixed,0.5,0.001181980671090765,0.008527909479630167,0.8900096312179125,4785,0.9550527151156264
bhci_fixed,0.6667,0.008466399650761914,0.009373725598394484,0.36832144558622715,6405,0.6269973728622737
bhci_fixed,0.75,0.032683988656922874,0.039904395503242616,0.41799824857484913,251,0.6269973728622737
bhci_fixed,0.8333,0.022286035235070566,0.007674169716223571,0.0044459132246212445,6686,0.03419957008538793
bhci_fixed,1,0.030622342740572763,0.011229457186946169,0.007599904463419541,3042,0.03419957008538793
func_cap,0,-0.06082218803360636,0.06280205175656595,0.34924186292538406,98,0.6881501985836168
func_cap,0.1667,0.016196961608643708,0.018379093822560432,0.3823056658797871,693,0.6881501985836168
func_cap,0.25,0.017614236148823702,0.041452847085883586,0.6735705753866559,276,0.8286277090418264
func_cap,0.3333,0.004338852075357179,0.01646990409466584,0.7927751271630391,2634,0.8286277090418264
func_cap,0.5,0.00905704613368073,0.013717490947195947,0.5104218845489303,5136,0.7656328268233955
func_cap,0.6667,0.02084573442351241,0.012898159902882586,0.10881972855599867,6919,0.42930658387964926
func_cap,0.75,0.011544372180796599,0.05309600432321225,0.8286277090418264,569,0.8286277090418264
func_cap,0.8333,0.02038932365039494,0.013826204177691538,0.14310219462654974,7452,0.42930658387964926
func_cap,1,0.03891797748821877,0.018514852385346853,0.03799306890822282,3721,0.3419376201740054
