outcome,spec,term,est,se,pval,n
bhci_fixed,base,treat_stack,0.016902681662063143,0.006251960008486107,0.00790058055470191,24539
bhci_fixed,base,treat_stack:dvi_q2,-0.014032588962885426,0.008892706720367306,0.11731510521630391,24539
bhci_fixed,base,treat_stack:dvi_q3,-0.010683667902006047,0.010170840547891535,0.29572682028471964,24539
bhci_fixed,base,treat_stack:dvi_q4,-0.006065520994950231,0.00858791780863862,0.48143914035834046,24539
bhci_fixed,base,treat_stack:dvi_q5,0.012019689267107586,0.008130219375698529,0.14203542179434112,24539
bhci_fixed,ctrl_z_psych,treat_stack,0.11750531739561952,0.019153933901198524,1.2413487030263746e-8,20049
bhci_fixed,ctrl_z_psych,treat_stack:dvi_q2,-0.01752154809738609,0.010282321236568729,0.09107309413775969,20049
bhci_fixed,ctrl_z_psych,treat_stack:dvi_q3,-0.019257575128647085,0.012305982905317186,0.12035513871836646,20049
bhci_fixed,ctrl_z_psych,treat_stack:dvi_q4,-0.019549820836401607,0.009897923301192301,0.050647756469020845,20049
bhci_fixed,ctrl_z_psych,treat_stack:dvi_q5,-0.009798797786827195,0.01197890236078747,0.4150462068129316,20049
bhci_fixed,ctrl_z_psych,treat_stack:z,-0.0017267993327911338,0.00653022583682047,0.7919205433700898,20049
bhci_fixed,ctrl_z_psych,treat_stack:psych_base,-0.12906633515381655,0.023516304506591222,2.450769517252537e-7,20049
bhci_fixed,ctrl_lhhc_psych,treat_stack,0.12069826836791528,0.03698606174329496,0.00145011790850903,20049
bhci_fixed,ctrl_lhhc_psych,treat_stack:dvi_q2,-0.017193508641024504,0.010356848202466629,0.09961673348486341,20049
bhci_fixed,ctrl_lhhc_psych,treat_stack:dvi_q3,-0.018798663057315177,0.01233971407178576,0.1303969563235761,20049
bhci_fixed,ctrl_lhhc_psych,treat_stack:dvi_q4,-0.019023785875633942,0.009718211892787307,0.05270671371611144,20049
bhci_fixed,ctrl_lhhc_psych,treat_stack:dvi_q5,-0.00915298365989161,0.011765754471744947,0.438205315551384,20049
bhci_fixed,ctrl_lhhc_psych,treat_stack:log_hhcperc,-3.8678036246655154e-4,0.003950676245007489,0.9221802932429833,20049
bhci_fixed,ctrl_lhhc_psych,treat_stack:psych_base,-0.1294281040547101,0.023741782180167766,2.890633605941842e-7,20049
bhci_fixed,ctrl_full,treat_stack,0.14623528818545303,0.01907182299772175,6.129112084016409e-12,20031
bhci_fixed,ctrl_full,treat_stack:dvi_q2,-0.019614451743209624,0.009881596382947675,0.04953096912631871,20031
bhci_fixed,ctrl_full,treat_stack:dvi_q3,-0.0188283316832905,0.01205414360801642,0.12104045602665338,20031
bhci_fixed,ctrl_full,treat_stack:dvi_q4,-0.019976274076476314,0.009417361666429149,0.036051187159783185,20031
bhci_fixed,ctrl_full,treat_stack:dvi_q5,-0.01090759455103411,0.012147166495850851,0.37108631306598516,20031
bhci_fixed,ctrl_full,treat_stack:z,9.452165551187715e-4,0.006660651965241402,0.8873990007778308,20031
bhci_fixed,ctrl_full,treat_stack:psych_base,-0.13848938526685942,0.023372165875657505,3.320720190275745e-8,20031
bhci_fixed,ctrl_full,treat_stack:chronic_count_base,-0.009972563146061902,0.0027099366869167353,3.5647891789312823e-4,20031
bhci_fixed,ctrl_full,treat_stack:disability_base,-0.0029188472042756645,0.013886234181885327,0.8338857461430624,20031
func_cap,base,treat_stack,0.04336431059506202,0.009692670213085453,1.8151050427808674e-5,27498
func_cap,base,treat_stack:dvi_q2,-0.0316251764629249,0.011546880634285203,0.007147848498279398,27498
func_cap,base,treat_stack:dvi_q3,-0.029995494635012915,0.011256374989608115,0.008811805434778053,27498
func_cap,base,treat_stack:dvi_q4,-0.03737322082315729,0.014461922318070876,0.011010649156967433,27498
func_cap,base,treat_stack:dvi_q5,-0.027081212098358676,0.013780687840113607,0.05180728394973447,27498
func_cap,ctrl_z_psych,treat_stack,0.06436191655443249,0.022742538876916404,0.005494465582671273,21632
func_cap,ctrl_z_psych,treat_stack:dvi_q2,-0.024969053594076574,0.013681862385738774,0.07060036669312239,21632
func_cap,ctrl_z_psych,treat_stack:dvi_q3,-0.035145432773097285,0.0139550891820994,0.01316145653451147,21632
func_cap,ctrl_z_psych,treat_stack:dvi_q4,-0.04567985168830732,0.016435899181823036,0.006365725022708817,21632
func_cap,ctrl_z_psych,treat_stack:dvi_q5,-0.017949630207826743,0.016269697641068358,0.2722196248093751,21632
func_cap,ctrl_z_psych,treat_stack:z,0.004675825199566216,0.010243784994079965,0.6489238619774151,21632
func_cap,ctrl_z_psych,treat_stack:psych_base,-0.02852067520216875,0.02723037447339331,0.297118579964975,21632
func_cap,ctrl_lhhc_psych,treat_stack,0.01633188629886423,0.06350524397392202,0.7975041701514389,21632
func_cap,ctrl_lhhc_psych,treat_stack:dvi_q2,-0.02390989092231872,0.01337244145486656,0.07640990834745197,21632
func_cap,ctrl_lhhc_psych,treat_stack:dvi_q3,-0.033764707228365186,0.013781859149414637,0.015795184901625393,21632
func_cap,ctrl_lhhc_psych,treat_stack:dvi_q4,-0.043871934205157045,0.016226130230223238,0.007896077961147337,21632
func_cap,ctrl_lhhc_psych,treat_stack:dvi_q5,-0.01557574892211451,0.016108034372444482,0.33559552898284983,21632
func_cap,ctrl_lhhc_psych,treat_stack:log_hhcperc,0.005550838958123459,0.006990724809597854,0.42881392649323036,21632
func_cap,ctrl_lhhc_psych,treat_stack:psych_base,-0.029296198051115663,0.026674960617777188,0.2743825360396196,21632
func_cap,ctrl_full,treat_stack,0.07765462764209531,0.02516199795619553,0.0025404891658859555,21612
func_cap,ctrl_full,treat_stack:dvi_q2,-0.025991997539591912,0.013846759493178772,0.06303597647414022,21612
func_cap,ctrl_full,treat_stack:dvi_q3,-0.035095314877730426,0.014040348134230538,0.013844055139790177,21612
func_cap,ctrl_full,treat_stack:dvi_q4,-0.04614201707312268,0.016642535306066106,0.00649041905664908,21612
func_cap,ctrl_full,treat_stack:dvi_q5,-0.018934280303359675,0.016639071202110972,0.257510365792544,21612
func_cap,ctrl_full,treat_stack:z,0.00608996848810384,0.010375978695903367,0.5584015077449733,21612
func_cap,ctrl_full,treat_stack:psych_base,-0.03188499674405687,0.027310893362860307,0.24543042455624128,21612
func_cap,ctrl_full,treat_stack:chronic_count_base,-0.0054042919450326046,0.0039327905572150695,0.17206362309915677,21612
func_cap,ctrl_full,treat_stack:disability_base,0.0031148240950431803,0.018250187063887643,0.8647803871657266,21612
