term,est,se,pval,n,outcome,version
treat_stack,0.010633011632406264,0.004503858255940538,0.019915154256470464,24539,bhci_fixed,base
treat_stack:dvi1,0.013609827165452375,0.008270304651858715,0.10257132621659246,24539,bhci_fixed,base
treat_stack,0.02201787797559845,0.00605489126835924,4.151195322595785e-4,24512,bhci_fixed,physical
treat_stack:dvi1,0.011158746810531922,0.008085144270962373,0.17021625344526822,24512,bhci_fixed,physical
treat_stack:chronic_count_base,-0.006837141198088326,0.0020547658580200487,0.0011774661757453246,24512,bhci_fixed,physical
treat_stack:disability_base,0.016657681943537152,0.012385108629890132,0.18127923595889942,24512,bhci_fixed,physical
treat_stack,0.011947175483264905,0.004838564543082983,0.015012848425326556,20527,bhci_fixed,ses
treat_stack:dvi1,0.006590289493539838,0.009345233901276501,0.4821096681751207,20527,bhci_fixed,ses
treat_stack:hhcperc_base,-4.786202349239146e-8,1.6202343757525728e-7,0.7682196047457239,20527,bhci_fixed,ses
treat_stack:z,-0.006708982743242074,0.007898733983735846,0.3974376983420822,20527,bhci_fixed,ses
treat_stack,0.021597038066486118,0.007844558681498255,0.006862217347832356,27498,func_cap,base
treat_stack:dvi1,-0.01103899267921955,0.010752754840821303,0.3067540065671523,27498,func_cap,base
treat_stack,0.028611065253632835,0.010578588945787329,0.007877415383561761,27468,func_cap,physical
treat_stack:dvi1,-0.012133047079667695,0.011177812967988488,0.27998900082421907,27468,func_cap,physical
treat_stack:chronic_count_base,-0.003657876508763326,0.0032512015216585263,0.262895923117833,27468,func_cap,physical
treat_stack:disability_base,0.004037517610431741,0.014323305734441903,0.7785387282565133,27468,func_cap,physical
treat_stack,0.021212618530045853,0.0078088346140014805,0.00761711078766034,22841,func_cap,ses
treat_stack:dvi1,-0.009899954460250887,0.013030745585674153,0.4489657636085458,22841,func_cap,ses
treat_stack:hhcperc_base,1.682246690362202e-7,1.4989306546263317e-7,0.2640735640678459,22841,func_cap,ses
treat_stack:z,0.0059336436086134935,0.009951989329003827,0.5521954579078805,22841,func_cap,ses
treat_stack,0.010633011632406264,0.004503858255940538,0.019915154256470464,24539,bhci_fixed,decomp_base
treat_stack:dvi1,0.013609827165452375,0.008270304651858715,0.10257132621659246,24539,bhci_fixed,decomp_base
treat_stack,0.021597038066486118,0.007844558681498255,0.006862217347832356,27498,func_cap,decomp_base
treat_stack:dvi1,-0.01103899267921955,0.010752754840821303,0.3067540065671523,27498,func_cap,decomp_base
treat_stack,0.002520140660937596,0.007666882970733984,0.7429766954098216,24623,psych_cap,decomp_base
treat_stack:dvi1,0.023162141229793685,0.012835409827899519,0.07376219828943498,24623,psych_cap,decomp_base
treat_stack,0.0036153791559446922,0.007463310595762397,0.629008946158411,25843,srh_cap_fixed,decomp_base
treat_stack:dvi1,0.01393782197555841,0.018051074778267395,0.44161981789166127,25843,srh_cap_fixed,decomp_base
treat_stack,0.07616033037127815,0.041051091648128805,0.06612041576554924,11385,hci_anderson,decomp_base
treat_stack:dvi1,0.0991071668627097,0.12144320433615968,0.41614250475484516,11385,hci_anderson,decomp_base
