outcome,dvi3_value,quin_contained,ATT,SE,pval,n_person_wave,n_baseline,p_fdr
bhci_fixed,0,Q1,-0.003243317367179703,0.05644495433551234,0.9550527151156261,72,12,0.9550527151156261
bhci_fixed,0.1667,Q1,0.003527685929235268,0.014395662486991293,0.8073995332996255,684,206,0.9550527151156261
bhci_fixed,0.25,Q1,0.029862264707991713,0.031601521540272,0.3533773656521192,165,7,0.6269973728622737
bhci_fixed,0.3333,Q1,0.00889634761281074,0.0104914431711475,0.3985682694315973,2584,794,0.6269973728622737
bhci_fixed,0.5,"Q1,Q2",0.0011819806710907685,0.008527909479630167,0.8900096312179122,4902,1415,0.9550527151156261
bhci_fixed,0.6667,"Q2,Q3",0.008466399650761909,0.009373725598394484,0.3683214455862277,6660,2068,0.6269973728622737
bhci_fixed,0.75,Q3,0.032683988656922874,0.03990439550324263,0.41799824857484913,273,18,0.6269973728622737
bhci_fixed,0.8333,"Q3,Q4,Q5",0.02228603523507055,0.007674169716223568,0.00444591322462127,6996,2215,0.03419957008538793
bhci_fixed,1,Q5,0.030622342740572746,0.011229457186946163,0.007599904463419541,3253,1049,0.03419957008538793
func_cap,0,Q1,-0.060822188033606304,0.06280205175656595,0.3492418629253845,108,39,0.6881501985836164
func_cap,0.1667,Q1,0.01619696160864371,0.01837909382256043,0.38230566587978687,710,208,0.6881501985836164
func_cap,0.25,Q1,0.0176142361488237,0.041452847085883586,0.6735705753866559,295,96,0.8286277090418264
func_cap,0.3333,Q1,0.004338852075357189,0.016469904094665845,0.7927751271630387,2708,803,0.8286277090418264
func_cap,0.5,"Q1,Q2",0.00905704613368072,0.01371749094719595,0.510421884548931,5251,1532,0.7656328268233965
func_cap,0.6667,"Q2,Q3",0.020845734423512414,0.012898159902882586,0.10881972855599864,7087,2082,0.42930658387964904
func_cap,0.75,Q3,0.011544372180796599,0.053096004323212244,0.8286277090418264,606,202,0.8286277090418264
func_cap,0.8333,"Q3,Q4,Q5",0.020389323650394947,0.01382620417769154,0.1431021946265497,7647,2254,0.42930658387964904
func_cap,1,Q5,0.038917977488218784,0.01851485238534685,0.03799306890822272,3866,1186,0.3419376201740045
