dvi_bin,ATT,SE,pval,n,outcome
0,0.015482970615233932,0.0127850215006657,0.23055714477388164,1085,bhci_fixed
0.25,0.003714706137570247,0.008336794118352048,0.6567846272843081,4310,bhci_fixed
0.5,0.0061291937843508705,0.009038278245697105,0.4990587929394763,5880,bhci_fixed
0.75,0.009243247415732896,0.006613339523383619,0.16497531897526047,8874,bhci_fixed
1,0.035694841178562343,0.009888888730626797,4.682228194731849e-4,5440,bhci_fixed
0,0.003293221524648082,0.013845289592533625,0.8127750661612089,1180,func_cap
0.25,0.017651716754466393,0.013030480331076134,0.17830551295735764,4608,func_cap
0.5,0.0015483644530780555,0.013251097256600225,0.9071843111821516,6348,func_cap
0.75,0.021193418935665186,0.010799417528378494,0.05216717385353829,9895,func_cap
1,0.032520955029594005,0.013251673082775372,0.01570676209163392,6247,func_cap
