version,outcome,term,n,est,se,pval
chronic_bhci_main,bhci_fixed,treat_stack,24539,0.009703909916419777,0.006996316544367722,0.16812340145807733
chronic_bhci_main,bhci_fixed,treat_stack:dvi_main,24539,0.0060910936259628845,0.009746352515071508,0.533234516067869
chronic_func_main,func_cap,treat_stack,27498,0.040018678637474256,0.010907791488600304,3.7071565191443235e-4
chronic_func_main,func_cap,treat_stack:dvi_main,27498,-0.03422514329760869,0.013637884801807028,0.01347979363338441
chronic_bhci_dvi4,bhci_fixed,treat_stack,24539,2.6555962652197174e-4,0.01167753304341655,0.9818962250548836
chronic_bhci_dvi4,bhci_fixed,treat_stack:dvi4,24539,0.017832472199252575,0.014847125112982012,0.2321910313675667
chronic_bhci_dvi4_team,bhci_fixed,treat_stack,24539,6.992124489433316e-4,0.011093305578310253,0.9498519384828533
chronic_bhci_dvi4_team,bhci_fixed,treat_stack:dvi4_team,24539,0.01728274359203688,0.014043012839981493,0.22094616196932598
full_bhci_chronic_x,bhci_fixed,treat_stack,33209,0.00226999225745024,0.00818742164273787,0.7820831386532804
full_bhci_chronic_x,bhci_fixed,treat_stack:dvi_main,33209,0.010086391587453204,0.008037599752528818,0.21205897618888953
full_bhci_chronic_x,bhci_fixed,treat_stack:chronic_base,33209,0.0017385882699031616,0.007046708093172559,0.8055621262526541
chronic_bhci_phys,bhci_fixed,treat_stack,24512,0.023318218534990588,0.008436098438340641,0.006649669307628563
chronic_bhci_phys,bhci_fixed,treat_stack:dvi_main,24512,0.0015275560727095426,0.009277241963348707,0.8695036082714687
chronic_bhci_phys,bhci_fixed,treat_stack:chronic_count_base,24512,-0.006937774895026375,0.0020844822583358296,0.0011742302557131194
chronic_bhci_phys,bhci_fixed,treat_stack:disability_base,24512,0.017722218330139164,0.012223198493532416,0.14981270089964088
chronic_bhci_ses,bhci_fixed,treat_stack,20527,0.01394855536161395,0.007775772411393257,0.07546520844664965
chronic_bhci_ses,bhci_fixed,treat_stack:dvi_main,20527,-0.001067387187493744,0.012396209788256674,0.9315319472478034
chronic_bhci_ses,bhci_fixed,treat_stack:hhcperc_base,20527,-5.349102882490332e-8,1.5783447666782136e-7,0.7352986925581337
chronic_bhci_ses,bhci_fixed,treat_stack:z,20527,-0.00789180110843485,0.008111068582084692,0.3326118614150767
chronic_bhci_prov,bhci_fixed,treat_stack,24539,0.011915861660397396,0.007586659407050096,0.11901521090123565
chronic_bhci_prov,bhci_fixed,treat_stack:dvi_main,24539,0.0039293047169835504,0.01049145003710245,0.7087038848809513
chronic_anderson,hci_anderson,treat_stack,11385,0.07816556954331116,0.05509493335628453,0.15867837655401731
chronic_anderson,hci_anderson,treat_stack:dvi_main,11385,0.015994037646468673,0.09288047287516761,0.863582804448507
