outcome,ATT,SE,pval,n,spec,p_fdr
func_cap,0.019256073519043588,0.007435753309891002,0.01084868433033196,27498,simple,0.03254605299099588
bhci_fixed,0.013335833885743519,0.004405205471449274,0.0030461450040040593,24539,simple,0.020568728263308907
psych_cap,0.00715866081227307,0.0072471637749123635,0.32533028242722883,24623,simple,0.48799542364084325
srh_cap_fixed,0.006394015730051967,0.007371699564970946,0.38754376718649275,25843,simple,0.5284687734361264
cog_cap,-0.008295373869490063,0.2428419692583841,0.9728091374520891,11416,simple,0.9863439733024807
func_cap,0.018671358333526577,0.008035216574168946,0.02014207521404936,22536,ctrl8_at_means,0.0503551880351234
bhci_fixed,0.01268690605343142,0.004460731198035058,0.0044532666436766155,20245,ctrl8_at_means,0.020568728263308907
psych_cap,0.011343961911172148,0.007459814203522419,0.12834111425787426,20299,ctrl8_at_means,0.2750166734097305
srh_cap_fixed,-0.00222362877768766,0.00901497921784959,0.8051718803285506,21225,ctrl8_at_means,0.9290444773021737
cog_cap,-0.13996469865237823,0.2532015052850902,0.5804141448016776,9675,ctrl8_at_means,0.725517681002097
bhci_fixed,0.013567574687769778,0.004186889248038842,0.0011932426267465396,1833,cohort_size_weighted,0.017898639401198093
cog_cap,-0.003777600791698685,0.22070418086876414,0.9863439733024807,895,cohort_size_weighted,0.9863439733024807
func_cap,0.018627987467865918,0.006707764272973493,0.005484994203549042,2112,cohort_size_weighted,0.020568728263308907
psych_cap,0.007606003913741916,0.007311739622538727,0.29822587808793627,1840,cohort_size_weighted,0.48799542364084325
srh_cap_fixed,0.006653932271256618,0.006679701215111676,0.3191810577896923,1883,cohort_size_weighted,0.48799542364084325
