outcome,cohort,ATT,SE,pval,n_treated,n
func_cap,3,0.015268296951772467,0.008948493204092847,0.09141161727229317,1291,13276
func_cap,4,0.02391100873007864,0.009987656649699727,0.01864835549274256,821,14222
bhci_fixed,3,0.014801536648550323,0.006114592211670721,0.017499267242893784,1120,11817
bhci_fixed,4,0.01162923331880174,0.004858323201272401,0.018666721586285618,713,12722
psych_cap,3,0.010021514799465569,0.011034256090983123,0.3661883891203257,1123,11858
psych_cap,4,0.003822714200118958,0.00730733153215596,0.6021119481354078,717,12765
srh_cap_fixed,3,0.008101147442707755,0.008844315928858107,0.3621292975541738,1153,12464
srh_cap_fixed,4,0.004368125294978314,0.01008632932284476,0.6659532392000592,730,13379
cog_cap,3,0.015068128355896966,0.28317461820222595,0.9576813780775073,601,5608
cog_cap,4,-0.042302373641035375,0.3410575892092224,0.9015540407034598,294,5808
