ATT,SE,pval,n_treated,n,level,cohort,agg_type,outcome,group
0.0040445970616729875,0.006371414794232268,0.5268174545382193,695,8155,pooled,NA,NA,bhci_fixed,Low
0.011554491015178667,0.007002892944335338,0.10243714804553275,468,4084,cohort,3,NA,bhci_fixed,Low
-0.006622702183863369,0.010041603069397439,0.5111704217777324,227,4071,cohort,4,NA,bhci_fixed,Low
0.005617479711318894,0.00574403790306113,0.32809062887658075,695,695,aggregate,NA,obs_weighted,bhci_fixed,Low
0.002465894415657649,0.0061211580153013884,0.6870602694399623,695,695,aggregate,NA,equal_weight,bhci_fixed,Low
0.009064529778739165,0.008906981396251392,0.31098111871433115,458,6656,pooled,NA,NA,bhci_fixed,Mid
0.007672970076896785,0.011311417599818494,0.4993170518070845,291,3254,cohort,3,NA,bhci_fixed,Mid
0.010802333399149981,0.0112092702711612,0.33767081260351584,167,3402,cohort,4,NA,bhci_fixed,Mid
0.008814026135447623,0.008267866957259748,0.28639740088584553,458,458,aggregate,NA,obs_weighted,bhci_fixed,Mid
0.009237651738023383,0.007962347457399448,0.24598087222517662,458,458,aggregate,NA,equal_weight,bhci_fixed,Mid
0.0250472078853131,0.006522717770456086,2.0513067350086568e-4,680,9728,pooled,NA,NA,bhci_fixed,High
0.02306798613173883,0.008488404567598655,0.007934673128384506,361,4479,cohort,3,NA,bhci_fixed,High
0.026867680294219,0.00846087098591068,0.0020355300361187437,319,5249,cohort,4,NA,bhci_fixed,High
0.02485048971678467,0.006005101261946272,3.499955475448375e-5,680,680,aggregate,NA,obs_weighted,bhci_fixed,High
0.024967833212978914,0.005992481746811058,3.0927613326970304e-5,680,680,aggregate,NA,equal_weight,bhci_fixed,High
0.008578304872191207,0.010020838967604882,0.3937521850318375,775,8837,pooled,NA,NA,func_cap,Low
0.0038583904199983345,0.011711879197872697,0.7425867492866416,524,4450,cohort,3,NA,func_cap,Low
0.015464939854871882,0.014437144431565099,0.28682618559472617,251,4387,cohort,4,NA,func_cap,Low
0.007617414817615444,0.009196157399936566,0.4074859918528581,775,775,aggregate,NA,obs_weighted,func_cap,Low
0.009661665137435108,0.009295149994532556,0.29860442872116133,775,775,aggregate,NA,equal_weight,func_cap,Low
0.020267993698219442,0.012343466652560926,0.10332153812795898,522,7488,pooled,NA,NA,func_cap,Mid
0.014903199932463522,0.013789380112434564,0.2826853703037937,330,3664,cohort,3,NA,func_cap,Mid
0.02691539311325698,0.016637166013109536,0.10905938206484866,192,3824,cohort,4,NA,func_cap,Mid
0.019321477884019736,0.01065085695899911,0.06966582510147344,522,522,aggregate,NA,obs_weighted,func_cap,Mid
0.02090929652286025,0.010804423825833714,0.0529592238667932,522,522,aggregate,NA,equal_weight,func_cap,Mid
0.02676988013987636,0.01032820251458187,0.010815636730508978,815,11173,pooled,NA,NA,func_cap,High
0.022019229549186756,0.011369689484238164,0.056032547242056856,437,5162,cohort,3,NA,func_cap,High
0.031134838428119895,0.014791332703373808,0.037992983948971285,378,6011,cohort,4,NA,func_cap,High
0.02624708250162446,0.009177651385505567,0.004237866541484012,815,815,aggregate,NA,obs_weighted,func_cap,High
0.026577033988653326,0.009328094153012868,0.0043837765673600095,815,815,aggregate,NA,equal_weight,func_cap,High
