group,egt,att,se,pval
Low,-3,0.010056570319277971,0.011181183241495876,0.3703089061891688
Low,-2,0.005880681861392054,0.005860226871423379,0.31773108660358396
Low,0,0.006760919684261095,0.006620684422554204,0.3093119460045659
Low,1,0.011617499615380167,0.009690936576794477,0.2330699842285887
Mid,-3,0.0024118721989893985,0.012852528085096834,0.85147881873714
Mid,-2,0.003783099141629211,0.008637464190694643,0.6622242968977285
Mid,0,0.008282024569512537,0.009188714513064385,0.36931544102327096
Mid,1,0.020226651348496164,0.015464759492196395,0.19353209576583894
High,-3,-0.0015270324908536852,0.014203863060618226,0.9145798592267512
High,-2,-0.009086603136260214,0.007286472635712935,0.21500368416543186
High,0,0.018350460374261596,0.00801606768222346,0.023958808846077772
High,1,0.03130742579040105,0.009618443402190452,0.0015038416173241765
Low_Mid,-3,0.0071676305266895664,0.01041725153158128,0.49280437931805376
Low_Mid,-2,0.005364107960079542,0.005689356862697869,0.34774331348767584
Low_Mid,0,0.007993910551385562,0.006006994297062639,0.18589821801646547
Low_Mid,1,0.015345296291027913,0.009621672141499303,0.11348643187455723
