quintile,ATT,SE,pval,n,outcome,p_fdr
Q1,0.01007772731751525,0.0071355927482387345,0.16084167617303283,4744,bhci_fixed,0.2680694602883881
Q2,8.499994672601543e-4,0.008791158037274847,0.9231501133182278,5270,bhci_fixed,0.9231501133182278
Q3,0.005289935096790085,0.01160302941025424,0.6494145963067761,4985,bhci_fixed,0.8117682453834701
Q4,0.017423478529959055,0.008954269938059848,0.05494119063152709,4921,bhci_fixed,0.13735297657881773
Q5,0.034445151199486206,0.008838206890569196,1.770321989997954e-4,4619,bhci_fixed,8.85160994998977e-4
Q1,0.022358399701640594,0.01185224240780603,0.06200012194143296,5171,func_cap,0.1550003048535824
Q2,0.0013114944467183876,0.011950196707440627,0.912810244061321,5684,func_cap,0.912810244061321
Q3,0.010189080528184822,0.014985628452465196,0.49799443324176107,5686,func_cap,0.6224930415522013
Q4,0.02656025651781185,0.016621286505025912,0.11367631906128893,5485,func_cap,0.1894605317688149
Q5,0.032537045965819404,0.013990362066094116,0.021976659567004436,5472,func_cap,0.10988329783502218
