dvi3,ATT,SE,pval,n,outcome,p_fdr
0,-0.003243317367179703,0.05644495433551234,0.9550527151156261,69,bhci_fixed,0.9550527151156261
0.1667,0.003527685929235268,0.014395662486991293,0.8073995332996255,659,bhci_fixed,0.9550527151156261
0.25,0.029862264707991713,0.031601521540272,0.3533773656521192,160,bhci_fixed,0.6269973728622737
0.3333,0.00889634761281074,0.0104914431711475,0.3985682694315973,2482,bhci_fixed,0.6269973728622737
0.5,0.0011819806710907685,0.008527909479630167,0.8900096312179122,4785,bhci_fixed,0.9550527151156261
0.6667,0.008466399650761909,0.009373725598394484,0.3683214455862277,6405,bhci_fixed,0.6269973728622737
0.75,0.032683988656922874,0.03990439550324263,0.41799824857484913,251,bhci_fixed,0.6269973728622737
0.8333,0.02228603523507055,0.007674169716223568,0.00444591322462127,6686,bhci_fixed,0.03419957008538793
1,0.030622342740572746,0.011229457186946163,0.007599904463419541,3042,bhci_fixed,0.03419957008538793
0,-0.060822188033606304,0.06280205175656595,0.3492418629253845,98,func_cap,0.6881501985836164
0.1667,0.01619696160864371,0.01837909382256043,0.38230566587978687,693,func_cap,0.6881501985836164
0.25,0.0176142361488237,0.041452847085883586,0.6735705753866559,276,func_cap,0.8286277090418264
0.3333,0.004338852075357189,0.016469904094665845,0.7927751271630387,2634,func_cap,0.8286277090418264
0.5,0.00905704613368072,0.01371749094719595,0.510421884548931,5136,func_cap,0.7656328268233965
0.6667,0.020845734423512414,0.012898159902882586,0.10881972855599864,6919,func_cap,0.42930658387964904
0.75,0.011544372180796599,0.053096004323212244,0.8286277090418264,569,func_cap,0.8286277090418264
0.8333,0.020389323650394947,0.01382620417769154,0.1431021946265497,7452,func_cap,0.42930658387964904
1,0.038917977488218784,0.01851485238534685,0.03799306890822272,3721,func_cap,0.3419376201740045
