sample,variable,n_rows,n_missing,missing_pct
all_60plus_2011_2018,age_base,23890,0,0.0
all_60plus_2011_2018,gender_base,23890,0,0.0
all_60plus_2011_2018,rural_base,23890,0,0.0
all_60plus_2011_2018,edu_base,23890,58,0.24
all_60plus_2011_2018,marry_base,23890,22,0.09
all_60plus_2011_2018,hhcperc_base,23890,4153,17.38
all_60plus_2011_2018,gdp_pc_log_base,23890,189,0.79
all_60plus_2011_2018,smoke_base,23890,133,0.56
all_60plus_2011_2018,drink_base,23890,141,0.59
all_60plus_2011_2018,ins_base,23890,254,1.06
all_60plus_2011_2018,children_base,23890,0,0.0
all_60plus_2011_2018,chronic_count_base,23890,121,0.51
chronic_2011_2018,age_base,17723,0,0.0
chronic_2011_2018,gender_base,17723,0,0.0
chronic_2011_2018,rural_base,17723,0,0.0
chronic_2011_2018,edu_base,17723,33,0.19
chronic_2011_2018,marry_base,17723,0,0.0
chronic_2011_2018,hhcperc_base,17723,3029,17.09
chronic_2011_2018,gdp_pc_log_base,17723,160,0.9
chronic_2011_2018,smoke_base,17723,14,0.08
chronic_2011_2018,drink_base,17723,18,0.1
chronic_2011_2018,ins_base,17723,104,0.59
chronic_2011_2018,children_base,17723,0,0.0
chronic_2011_2018,chronic_count_base,17723,0,0.0
