group,stat,n
dvi3==1,all_baseline_ids,1029
dvi3==1,all_person_wave_rows,3399
dvi3==1,all_cities,111
dvi3==1,gvar3_treated_baseline_ids,155
dvi3==1,gvar3_treated_rows,502
dvi3==1,gvar3_treated_cities,19
dvi3==1,gvar4_treated_baseline_ids,258
dvi3==1,gvar4_treated_rows,870
dvi3==1,gvar4_treated_cities,24
dvi3==1,never_baseline_ids,616
dvi3==1,never_rows,2027
dvi3==1,never_cities,68
dvi3==1,gvar3_wave1_rows,155
dvi3==1,gvar3_wave2_rows,129
dvi3==1,gvar3_wave3_rows,118
dvi3==1,gvar3_wave4_rows,100
dvi3==1,gvar4_wave1_rows,258
dvi3==1,gvar4_wave2_rows,225
dvi3==1,gvar4_wave3_rows,213
dvi3==1,gvar4_wave4_rows,174
dvi_main==1,all_baseline_ids,1616
dvi_main==1,all_person_wave_rows,5407
dvi_main==1,all_cities,114
dvi_main==1,gvar3_treated_baseline_ids,232
dvi_main==1,gvar3_treated_rows,769
dvi_main==1,gvar3_treated_cities,20
dvi_main==1,gvar4_treated_baseline_ids,396
dvi_main==1,gvar4_treated_rows,1331
dvi_main==1,gvar4_treated_cities,24
dvi_main==1,never_baseline_ids,988
dvi_main==1,never_rows,3307
dvi_main==1,never_cities,70
dvi_main==1,gvar3_wave1_rows,232
dvi_main==1,gvar3_wave2_rows,196
dvi_main==1,gvar3_wave3_rows,183
dvi_main==1,gvar3_wave4_rows,158
dvi_main==1,gvar4_wave1_rows,396
dvi_main==1,gvar4_wave2_rows,345
dvi_main==1,gvar4_wave3_rows,323
dvi_main==1,gvar4_wave4_rows,267
