count,ATT,SE,pval,n,outcome,p_fdr
0,-0.004692548481150793,0.03347162934746083,0.8885060779902284,290,bhci_fixed,0.8923638303684915
1,0.001689950405446867,0.012489127393800705,0.8923638303684915,1449,bhci_fixed,0.8923638303684915
2,0.025070696572420708,0.01215799962829709,0.03920067838080326,3886,bhci_fixed,0.09800169595200815
3,0.027832462297782915,0.009021844950764336,0.0020354679572746,4367,bhci_fixed,0.010177339786372998
4,0.023440211301368422,0.013851350331318353,0.09059468843626085,2525,bhci_fixed,0.1509911473937681
0,0.0541470490810421,0.028317333054319202,0.05585668240914493,303,func_cap,0.195103429108403
1,0.006333099833280401,0.019340882059475564,0.743330369513483,1507,func_cap,0.743330369513483
2,0.009674960070129588,0.01604231444976858,0.5464487916490544,4107,func_cap,0.7354389600848366
3,0.031013284524376444,0.01759953188322363,0.0780413716433612,4914,func_cap,0.195103429108403
4,0.011504412039583706,0.02125617019835058,0.5883511680678692,2866,func_cap,0.7354389600848366
