count_min3,ATT,SE,pval,n,outcome,p_fdr
0,0.007565307483849793,0.01671801282008347,0.6508913007403841,696,bhci_fixed,0.6589397585825214
1,0.004223223403664,0.009568280675110391,0.6589397585825214,3789,bhci_fixed,0.6589397585825214
2,0.025070696572420708,0.01215799962829709,0.03920067838080326,3886,bhci_fixed,0.09908981587526403
3,0.008980288026893744,0.007332991632268953,0.22071021367363095,7690,bhci_fixed,0.36785035612271827
4,0.021639818465415774,0.010517411684282002,0.03963592635010561,4184,bhci_fixed,0.09908981587526403
0,0.013488883760246971,0.016071382049373258,0.40129495097155204,749,func_cap,0.50161868871444
1,0.020524318132345246,0.014625060841744987,0.16050762442989988,4105,func_cap,0.37733339650753894
2,0.009674960070129588,0.01604231444976858,0.5464487916490544,4107,func_cap,0.5464487916490544
3,0.018804184492087553,0.011612970996165612,0.1053956840029325,8730,func_cap,0.37733339650753894
4,0.020090837994127198,0.01660833094085505,0.22640003790452334,4845,func_cap,0.37733339650753894
