outcome,dvi3,pattern,ATT,SE,pval,n,p_fdr
bhci_fixed,0.1667,0.5|0|0,-0.00479559344041388,0.018812574056532215,0.7987893202528353,489,0.7987893202528353
bhci_fixed,0.1667,0|0.5|0,-0.06044344837863749,0.04678047177793963,0.19633435333490745,489,0.3926687066698149
bhci_fixed,0.3333,0.5|0.5|0,0.006826686494080067,0.013377275081294425,0.6098275302514313,2061,0.93060485282738
bhci_fixed,0.3333,0.5|0|0.5,-0.0021131441404590758,0.026843635707570517,0.9372549478599111,2061,0.9372549478599111
bhci_fixed,0.3333,1|0|0,0.009595355988755737,0.019373640240782496,0.6204032352182534,2061,0.93060485282738
bhci_fixed,0.5,0.5|0.5|0.5,-2.603948412558866e-4,0.016520333370353198,0.9874241992431065,4078,0.9874241992431065
bhci_fixed,0.5,0.5|0|1,0.00801635876950225,0.034982992126792435,0.8187521967517999,4078,0.9874241992431065
bhci_fixed,0.5,0.5|1|0,-0.015879996950419188,0.027798249985385454,0.5678241758828274,4078,0.9874241992431065
bhci_fixed,0.5,1|0.5|0,0.010993436600853905,0.014260322351797377,0.4407598014889896,4078,0.9874241992431065
bhci_fixed,0.5,1|0|0.5,0.0056810059760268065,0.03886970754595107,0.8837989502143611,4078,0.9874241992431065
bhci_fixed,0.5,NA|1|0,-0.09682993047181816,0.06587040837591174,0.14155998532728864,4078,0.8493599119637318
bhci_fixed,0.6667,0.5|0.5|1,-0.0058666401404399455,0.013966198549061793,0.6744416866493543,5437,0.8430521083116929
bhci_fixed,0.6667,0.5|1|0.5,0.022588500947482822,0.019358317164889893,0.2432657646477346,5437,0.6081644116193365
bhci_fixed,0.6667,1|0.5|0.5,0.04600688622701778,0.014906982820974957,0.0020268869211084515,5437,0.010134434605542258
bhci_fixed,0.6667,1|0|1,-0.019803752734299098,0.027434017707558003,0.47037534027109157,5437,0.7839589004518193
bhci_fixed,0.6667,1|1|0,0.0016538606589157011,0.021663480313510907,0.9391460116213031,5437,0.9391460116213031
bhci_fixed,0.8333,0.5|1|1,0.016402142606076954,0.015990533462883996,0.3050137767139955,5429,0.3050137767139955
bhci_fixed,0.8333,1|0.5|1,0.021551353150396226,0.010263257754842043,0.035741597988214385,5429,0.10722479396464316
bhci_fixed,0.8333,1|1|0.5,0.041495258995455746,0.026128058459210853,0.11225257177222579,5429,0.16837885765833868
bhci_fixed,1,1|1|1,0.01711547863220256,0.013015280353450061,0.18849996203587144,2416,0.18849996203587144
bhci_fixed,1,NA|1|1,0.13550279588162736,0.0530586508326212,0.010654513741858294,2416,0.02130902748371659
func_cap,0.1667,0.5|0|0,0.019679699509590802,0.022529630215375296,0.38238897351816936,516,0.7647779470363387
func_cap,0.1667,0|0.5|0,0.012568724853538101,0.04936908274712371,0.7990421293219834,516,0.7990421293219834
func_cap,0.3333,0.5|0.5|0,-0.014017143922046855,0.022302448380132102,0.529674828264791,2166,0.7945122423971864
func_cap,0.3333,0.5|0|0.5,0.05299540896699496,0.039891740669241914,0.18401934372491852,2166,0.5520580311747556
func_cap,0.3333,1|0|0,0.004520682312223682,0.023226280462565533,0.8456775139728013,2166,0.8456775139728013
func_cap,0.5,0.5|0.5|0.5,0.0168020867671823,0.023489507776268456,0.4744225877697905,4352,0.5534930190647557
func_cap,0.5,0.5|0|1,-0.0037718258750052648,0.04435173575817971,0.9322268252493039,4352,0.9322268252493039
func_cap,0.5,0.5|1|0,0.03325524735801304,0.020316081512634053,0.10165287262128575,4352,0.3557850541745001
func_cap,0.5,1|0.5|0,0.03304693546920869,0.017284808267128464,0.05588820124319262,4352,0.3557850541745001
func_cap,0.5,1|0|0.5,0.0538826740301665,0.049158605737543895,0.27303567084607927,4352,0.4778124239806387
func_cap,0.5,NA|0|1,-0.20538369237039442,0.22445466226286848,0.36017367613087536,4352,0.5042431465832254
func_cap,0.5,NA|1|0,-0.0715333150869049,0.0627862330908754,0.2545716751454581,4352,0.4778124239806387
func_cap,0.6667,0.5|0.5|1,0.010220126170689441,0.024491002365161094,0.6764580662636286,5862,0.6764580662636286
func_cap,0.6667,0.5|1|0.5,0.02900360832126063,0.044562518187432634,0.5151419678018726,5862,0.6470934462570993
func_cap,0.6667,1|0.5|0.5,0.02317960595511793,0.02390228433981561,0.33216349266108125,5862,0.6470934462570993
func_cap,0.6667,1|0|1,-0.026035741792833706,0.04024482843613645,0.5176747570056794,5862,0.6470934462570993
func_cap,0.6667,1|1|0,0.05666704859371356,0.03810722411818071,0.13700367814062767,5862,0.6470934462570993
func_cap,0.8333,0.5|1|1,0.018680661651068957,0.02676455566499929,0.4852005184172103,6039,0.7278007776258154
func_cap,0.8333,1|0.5|1,0.024903908870555415,0.018769190174130063,0.1845581502058293,6039,0.5536744506174879
func_cap,0.8333,1|1|0.5,0.002712351620062221,0.0366528738432799,0.9410095395677541,6039,0.9410095395677541
func_cap,1,1|1|1,0.023389861987435357,0.027724061679254914,0.39885579435328467,2897,0.39885579435328467
func_cap,1,NA|1|1,0.08007320224973914,0.040851685829267514,0.04998463859389751,2897,0.09996927718779502
