outcome,dvi3,contrast,diff,se,pval,n,p_fdr
bhci_fixed,0.1667,0|0.5|0 - 0.5|0|0,-0.05564785493822361,0.0430811282053341,0.19646136599213093,489,0.19646136599213093
bhci_fixed,0.3333,0.5|0|0.5 - 0.5|0.5|0,-0.008939830634539143,0.030984662581649686,0.7729453692522675,2061,0.8861532260946813
bhci_fixed,0.3333,1|0|0 - 0.5|0.5|0,0.00276866949467567,0.01933787439114254,0.8861532260946813,2061,0.8861532260946813
bhci_fixed,0.5,0.5|0|1 - 0.5|0.5|0.5,0.008276753610758136,0.03519574603510649,0.8140818611461894,4078,0.870940761293242
bhci_fixed,0.5,0.5|1|0 - 0.5|0.5|0.5,-0.015619602109163301,0.028070180851696318,0.577904484209427,4078,0.870940761293242
bhci_fixed,0.5,1|0.5|0 - 0.5|0.5|0.5,0.011253831442109792,0.021473908078732402,0.600229839471137,4078,0.870940761293242
bhci_fixed,0.5,1|0|0.5 - 0.5|0.5|0.5,0.005941400817282693,0.03657065006872264,0.870940761293242,4078,0.870940761293242
bhci_fixed,0.5,NA|1|0 - 0.5|0.5|0.5,-0.09656953563056228,0.06803103851796431,0.1557555389002318,4078,0.7787776945011591
bhci_fixed,0.6667,0.5|1|0.5 - 0.5|0.5|1,0.02845514108792277,0.022198079037025926,0.19988683857663173,5437,0.39977367715326345
bhci_fixed,0.6667,1|0.5|0.5 - 0.5|0.5|1,0.05187352636745773,0.020751576850952518,0.012428482731126076,5437,0.0497139309245043
bhci_fixed,0.6667,1|0|1 - 0.5|0.5|1,-0.013937112593859153,0.02703126597580887,0.6061391894166568,5437,0.7609866230929321
bhci_fixed,0.6667,1|1|0 - 0.5|0.5|1,0.007520500799355647,0.024723408864586044,0.7609866230929321,5437,0.7609866230929321
bhci_fixed,0.8333,1|0.5|1 - 0.5|1|1,0.0051492105443192715,0.017833469122409396,0.7727814372171183,5429,0.7727814372171183
bhci_fixed,0.8333,1|1|0.5 - 0.5|1|1,0.025093116389378792,0.032141693355192624,0.43497719645985605,5429,0.7727814372171183
bhci_fixed,1,NA|1|1 - 1|1|1,0.1183873172494248,0.059974424296092496,0.04838590713998652,2416,0.04838590713998652
func_cap,0.1667,0|0.5|0 - 0.5|0|0,-0.007110974656052701,0.04398812920243203,0.8715762249231249,516,0.8715762249231249
func_cap,0.3333,0.5|0|0.5 - 0.5|0.5|0,0.06701255288904182,0.042965855814339204,0.11883790405834498,2166,0.23767580811668995
func_cap,0.3333,1|0|0 - 0.5|0.5|0,0.018537826234270537,0.02967547792965533,0.5321778131366113,2166,0.5321778131366113
func_cap,0.5,0.5|0|1 - 0.5|0.5|0.5,-0.020573912642187567,0.045606275980134184,0.6519029149337859,4352,0.6519029149337859
func_cap,0.5,0.5|1|0 - 0.5|0.5|0.5,0.016453160590830736,0.026002761926465397,0.5268990985095452,4352,0.6519029149337859
func_cap,0.5,1|0.5|0 - 0.5|0.5|0.5,0.01624484870202639,0.027565424179439885,0.5556468030386816,4352,0.6519029149337859
func_cap,0.5,1|0|0.5 - 0.5|0.5|0.5,0.0370805872629842,0.050463031687532516,0.4624570634190872,4352,0.6519029149337859
func_cap,0.5,NA|0|1 - 0.5|0.5|0.5,-0.22218577913757673,0.228206294182899,0.3302461946103941,4352,0.6519029149337859
func_cap,0.5,NA|1|0 - 0.5|0.5|0.5,-0.0883354018540872,0.0569687175944773,0.1209987997762856,4352,0.6519029149337859
func_cap,0.6667,0.5|1|0.5 - 0.5|0.5|1,0.018783482150571188,0.055606882317249674,0.7355209939614513,5862,0.7355209939614513
func_cap,0.6667,1|0.5|0.5 - 0.5|0.5|1,0.01295947978442849,0.03591392898313175,0.7182128628272078,5862,0.7355209939614513
func_cap,0.6667,1|0|1 - 0.5|0.5|1,-0.03625586796352315,0.03831809332510878,0.3440560610326546,5862,0.7047690768786692
func_cap,0.6667,1|1|0 - 0.5|0.5|1,0.04644692242302412,0.04994432279947389,0.3523845384393346,5862,0.7047690768786692
func_cap,0.8333,1|0.5|1 - 0.5|1|1,0.006223247219486458,0.026079270727315598,0.8113939620588734,6039,0.8113939620588734
func_cap,0.8333,1|1|0.5 - 0.5|1|1,-0.015968310031006735,0.042495679738589455,0.7070929933398464,6039,0.8113939620588734
func_cap,1,NA|1|1 - 1|1|1,0.05668334026230379,0.04497012636932157,0.20750110557585963,2897,0.20750110557585963
