outcome,dimension,grp,status,ATT,SE,pval,n,p_fdr
bhci_fixed,dvi_mat,Low,0,0.0019653286862402575,0.016096046529955534,0.9028197527541895,1385,0.9028197527541895
bhci_fixed,dvi_mat,Low,0.5,0.00845228585631671,0.008419404613291149,0.315424207752321,4892,0.5046787324037136
bhci_fixed,dvi_mat,Low,1,-0.04621165317829157,0.025259010531030565,0.06732300075496887,552,0.2692920030198755
bhci_fixed,dvi_mat,Mid,0,-0.030433236935547545,0.03606151874599028,0.39871101139271875,290,0.5316146818569583
bhci_fixed,dvi_mat,Mid,0.5,0.013446061105000556,0.011262549061302399,0.23252737722616074,4228,0.4650547544523215
bhci_fixed,dvi_mat,Mid,1,0.010941310961865812,0.017854330036161693,0.5400020159945578,1053,0.6171451611366374
bhci_fixed,dvi_mat,High,0.5,0.01636622360520351,0.011595290385509228,0.1581106729441942,2980,0.42162846118451786
bhci_fixed,dvi_mat,High,1,0.023988419559465794,0.009477705271187317,0.011372595926517738,4865,0.09098076741214191
bhci_fixed,dvi_skill,Low,0,-0.0026039109297494954,0.008256097677825794,0.7524636934501823,4372,0.7524636934501823
bhci_fixed,dvi_skill,Low,0.5,0.02110071199781691,0.01602854115475733,0.18802432657953158,2207,0.30083892252725053
bhci_fixed,dvi_skill,Low,1,-0.048659200802177935,0.04398355430552058,0.268594776706797,250,0.35812636894239597
bhci_fixed,dvi_skill,Mid,0,-0.03909359114430467,0.02399723405070209,0.10329452243847546,434,0.20658904487695093
bhci_fixed,dvi_skill,Mid,0.5,0.037679444091089226,0.013005674772627705,0.0037656472818769493,2168,0.024847886363429352
bhci_fixed,dvi_skill,Mid,1,-0.009782978695949454,0.013961626893311228,0.4834872725944875,2969,0.5525568829651285
bhci_fixed,dvi_skill,High,0.5,0.04403654751401031,0.022073118476224545,0.04603953901231995,681,0.12277210403285319
bhci_fixed,dvi_skill,High,1,0.020165123726303164,0.007369276943819794,0.006211971590857338,7164,0.024847886363429352
bhci_fixed,dvi_mot,Low,0,0.1932952060951596,0.07092757263326999,0.006425325757334246,119,0.02248864015066986
bhci_fixed,dvi_mot,Low,0.5,0.00289231662942927,0.009899100256789722,0.7701491942809932,4760,0.8985073933278254
bhci_fixed,dvi_mot,Low,1,0.0012244045513679367,0.013344041943281901,0.9268913890648178,1761,0.9268913890648178
bhci_fixed,dvi_mot,Mid,0.5,0.005507434776404195,0.013362726063390453,0.6802301829798596,3164,0.8985073933278254
bhci_fixed,dvi_mot,Mid,1,0.02419344214121997,0.01378340104033134,0.07921497371951905,2273,0.1848349386788778
bhci_fixed,dvi_mot,High,0.5,0.017700304015480582,0.01822606382182268,0.3314718908515423,1768,0.580075808990199
bhci_fixed,dvi_mot,High,1,0.02137328783203029,0.0075150312795772365,0.004454102274905713,6017,0.02248864015066986
func_cap,dvi_mat,Low,0,5.543319893622483e-4,0.018688314660136734,0.9763366523280664,1535,0.9763366523280664
func_cap,dvi_mat,Low,0.5,0.022210145045606495,0.011527867291280957,0.05402348442554002,5185,0.2517719159818338
func_cap,dvi_mat,Low,1,-0.012086038717439167,0.028177656048483404,0.6679794177737124,636,0.9763366523280664
func_cap,dvi_mat,Mid,0,-0.002002180088550888,0.0530606678841971,0.969899934808611,354,0.9763366523280664
func_cap,dvi_mat,Mid,0.5,0.0029328064590848184,0.017038521405096475,0.863336907534494,4728,0.9763366523280664
func_cap,dvi_mat,Mid,1,0.04992871277282291,0.03904968264969275,0.20103985791212123,1162,0.420167508198546
func_cap,dvi_mat,High,0.5,0.03127782478995901,0.016819705601805655,0.06294297899545845,3369,0.2517719159818338
func_cap,dvi_mat,High,1,0.018371144623224502,0.014657806675312572,0.210083754099273,5567,0.420167508198546
func_cap,dvi_skill,Low,0,0.016860389149048194,0.011876028820721404,0.15569525806371623,4735,0.41334432967618173
func_cap,dvi_skill,Low,0.5,0.01796751134168858,0.02470261290504763,0.46700994330618123,2305,0.6226799244082416
func_cap,dvi_skill,Low,1,-0.11142338535886541,0.06728437856369522,0.09772045101091281,316,0.39088180404365125
func_cap,dvi_skill,Mid,0,0.04945580907250237,0.0391645695389872,0.20667216483809087,486,0.41334432967618173
func_cap,dvi_skill,Mid,0.5,0.02496650358735111,0.023269489682601428,0.2833031026469271,2293,0.45328496423508335
func_cap,dvi_skill,Mid,1,-0.001819520889911198,0.01794190132428448,0.9192235528563314,3465,0.9192235528563314
func_cap,dvi_skill,High,0.5,0.011026317046950982,0.022762277652013968,0.6280936095881555,722,0.7178212681007491
func_cap,dvi_skill,High,1,0.025824382524470346,0.013185716686928988,0.05016998066437563,8214,0.39088180404365125
func_cap,dvi_mot,Low,0,0.11066319731516175,0.08391685319378107,0.18726128459227556,124,0.4130621865140829
func_cap,dvi_mot,Low,0.5,0.006484796069857847,0.013197804688415266,0.623175988781471,4961,0.7145694701410971
func_cap,dvi_mot,Low,1,0.04095772435128696,0.021543298479625165,0.05727822010422319,1855,0.20047377036478117
func_cap,dvi_mot,Mid,0.5,0.016736360438646743,0.018806380612512854,0.3735035271865853,3405,0.5229049380612194
func_cap,dvi_mot,Mid,1,0.022467902485274468,0.01896098726126053,0.2360355351509045,2457,0.4130621865140829
func_cap,dvi_mot,High,0.5,-0.012573517810516039,0.03437960235849533,0.7145694701410971,1948,0.7145694701410971
func_cap,dvi_mot,High,1,0.027353817611625367,0.014259261934398039,0.05507053454801538,6775,0.20047377036478117
