outcome,model,term,est,se,pval,n
bhci_fixed,full,treat_stack,0.06745551794476157,0.08425572237326918,0.42502593608951567,19862
bhci_fixed,full,treat_stack:dvi_mat,0.015524723131449196,0.009593668666919675,0.10837747271756983,19862
bhci_fixed,full,treat_stack:dvi_skill,0.006405469418515889,0.014377883924483819,0.6567972031506832,19862
bhci_fixed,full,treat_stack:dvi_mot,0.027940579852375268,0.012404075582297296,0.026202844516772312,19862
bhci_fixed,loo_mat,treat_stack,0.07863760928463304,0.08378280494050583,0.3499262163190816,19862
bhci_fixed,loo_mat,treat_stack:dvi_skill,0.007910547730545855,0.014728074408879358,0.592240682424762,19862
bhci_fixed,loo_mat,treat_stack:dvi_mot,0.028995368183596604,0.012350602052144872,0.020614574752526895,19862
bhci_fixed,loo_skill,treat_stack,0.07429343481375517,0.08368548908974292,0.3765339051742954,19862
bhci_fixed,loo_skill,treat_stack:dvi_mat,0.015982827569582067,0.009925543546703254,0.11010400597721372,19862
bhci_fixed,loo_skill,treat_stack:dvi_mot,0.027859066108101356,0.012491407494859988,0.02768840640238501,19862
bhci_fixed,loo_mot,treat_stack,0.09855172363128384,0.08306835885806418,0.23793376578204267,20245
bhci_fixed,loo_mot,treat_stack:dvi_mat,0.014873711246711958,0.009522383061337465,0.12106603354041932,20245
bhci_fixed,loo_mot,treat_stack:dvi_skill,0.007455791359710148,0.013349694335009474,0.5775989957410235,20245
func_cap,full,treat_stack,0.3149556441091086,0.12940883599031927,0.016493576356050293,21525
func_cap,full,treat_stack:dvi_mat,0.0178529985792302,0.014671376310492527,0.22617103265974353,21525
func_cap,full,treat_stack:dvi_skill,-0.002150558563342019,0.020810251845034055,0.917873671195593,21525
func_cap,full,treat_stack:dvi_mot,0.01667783819865598,0.018583724762666044,0.3713738462751376,21525
func_cap,loo_mat,treat_stack,0.330106063452857,0.13093768674743633,0.013081137049476076,21525
func_cap,loo_mat,treat_stack:dvi_skill,-7.464496782185184e-4,0.020744658977496822,0.9713590527359026,21525
func_cap,loo_mat,treat_stack:dvi_mot,0.017599189365874596,0.018433571313514086,0.34173147769222734,21525
func_cap,loo_skill,treat_stack,0.3125998427189032,0.12734340683743867,0.015608191780909797,21525
func_cap,loo_skill,treat_stack:dvi_mat,0.017733441879736973,0.014701144919084518,0.23021364558882637,21525
func_cap,loo_skill,treat_stack:dvi_mot,0.016720885245332218,0.018639352502653306,0.3715697939586994,21525
func_cap,loo_mot,treat_stack,0.3286779670171507,0.12349364321137417,0.008902511471377779,22536
func_cap,loo_mot,treat_stack:dvi_mat,0.02095452774291923,0.014744991516770887,0.15800908766632696,22536
func_cap,loo_mot,treat_stack:dvi_skill,6.486174275885763e-4,0.018873437540585344,0.9726448533484618,22536
