variable,smd_before,smd_after,matching
age,0.1481671383372067,0.056226825945489965,nn1
female,0.06196740526104112,-0.1805767984765174,nn1
rural,-0.39256612098808435,-0.11575148741210914,nn1
edu,0.25393117241722346,0.2027784189433448,nn1
married,0.0934024339998264,0.03999374752784958,nn1
logcons,0.34369881759277515,0.38411132910760243,nn1
chronic_count,-0.08567222708191825,-0.07702881737769393,nn1
smoke,-0.2740701537272248,-0.004641145382370697,nn1
drink,-0.11928594945095734,-0.18034519702857868,nn1
ins,0.013863680700232516,0.16409037572571017,nn1
children,-0.35411114911588876,-0.2853947841675192,nn1
gdp,0.8045890952362135,0.48608095106245486,nn1
age,0.1481671383372067,0.0506599698102973,nn4
female,0.06196740526104112,-0.0870979278109739,nn4
rural,-0.39256612098808435,-0.16972221880073426,nn4
edu,0.25393117241722346,0.02678455991444049,nn4
married,0.0934024339998264,-0.05026211178422368,nn4
logcons,0.34369881759277515,0.24347910673538195,nn4
chronic_count,-0.08567222708191825,-0.16390386913071187,nn4
smoke,-0.2740701537272248,-0.025145469564376587,nn4
drink,-0.11928594945095734,-0.22670065201734851,nn4
ins,0.013863680700232516,0.11759440463401917,nn4
children,-0.35411114911588876,-0.26360835603650634,nn4
gdp,0.8045890952362135,0.4873459623940434,nn4
