outcome,pattern,ATT,SE,pval,n,p_fdr
bhci_fixed,0.5|0.5|1,-0.0058666401404399455,0.013966198549061793,0.6744416866493543,5437,0.8430521083116929
bhci_fixed,0.5|1|0.5,0.022588500947482822,0.019358317164889893,0.2432657646477346,5437,0.6081644116193365
bhci_fixed,1|0.5|0.5,0.04600688622701778,0.014906982820974957,0.0020268869211084515,5437,0.010134434605542258
bhci_fixed,1|0|1,-0.019803752734299098,0.027434017707558003,0.47037534027109157,5437,0.7839589004518193
bhci_fixed,1|1|0,0.0016538606589157011,0.021663480313510907,0.9391460116213031,5437,0.9391460116213031
func_cap,0.5|0.5|1,0.004433783973312568,0.021065398720569704,0.8332953251160934,5437,0.9028222295749564
func_cap,0.5|1|0.5,0.028860545716605464,0.03934912690562337,0.46328511949604284,5437,0.772141865826738
func_cap,1|0.5|0.5,0.03142357958131631,0.02008897873748332,0.11776594392659939,5437,0.2944148598164985
func_cap,1|0|1,-0.004186384094402971,0.034287373743173956,0.9028222295749564,5437,0.9028222295749564
func_cap,1|1|0,0.054471430049703506,0.02955000141154849,0.0652757776510252,5437,0.2944148598164985
