outcome,dimension,dim_var,grp,status,ATT,SE,pval,n,p_fdr
bhci_fixed,Motivation/social,dvi_mot,Low,1,0.0012244045513679367,0.013344041943281901,0.9268913890648178,1761,0.9268913890648178
bhci_fixed,Motivation/social,dvi_mot,Mid,1,0.02419344214121997,0.01378340104033134,0.07921497371951905,2273,0.11882246057927857
bhci_fixed,Motivation/social,dvi_mot,High,1,0.02137328783203029,0.0075150312795772365,0.004454102274905713,6017,0.01336230682471714
bhci_fixed,Material,dvi_mat,Low,1,-0.027783147155426055,0.025496122431847786,0.275844926550958,504,0.413767389826437
bhci_fixed,Material,dvi_mat,Mid,1,0.010941310961865812,0.017854330036161693,0.5400020159945578,1053,0.5400020159945578
bhci_fixed,Material,dvi_mat,High,1,0.023879406145852173,0.009894897048100395,0.01580857740485744,4805,0.047425732214572316
bhci_fixed,Skill/proxy,dvi_skill,Low,1,-0.04488333744885556,0.04589191464199328,0.3280630627987703,242,0.49209459419815543
bhci_fixed,Skill/proxy,dvi_skill,Mid,1,-0.009417178092729999,0.01388148035678393,0.4975189393232632,2835,0.4975189393232632
bhci_fixed,Skill/proxy,dvi_skill,High,1,0.02012814468168618,0.007702087641931876,0.008966304412354001,7104,0.026898913237062005
func_cap,Motivation/social,dvi_mot,Low,1,0.04095772435128696,0.021543298479625165,0.05727822010422319,1855,0.08591733015633479
func_cap,Motivation/social,dvi_mot,Mid,1,0.022467902485274468,0.01896098726126053,0.2360355351509045,2457,0.2360355351509045
func_cap,Motivation/social,dvi_mot,High,1,0.027353817611625367,0.014259261934398039,0.05507053454801538,6775,0.08591733015633479
func_cap,Material,dvi_mat,Low,1,0.010936786817010866,0.0268303522027262,0.6835472421133508,539,0.6835472421133508
func_cap,Material,dvi_mat,Mid,1,0.04911772175217265,0.03860299953458298,0.20323779436102757,1152,0.3864589962505358
func_cap,Material,dvi_mat,High,1,0.01628056589431253,0.014382273318566572,0.25763933083369056,5354,0.3864589962505358
func_cap,Skill/proxy,dvi_skill,Low,1,-0.01975881973818016,0.07611636482894588,0.7951823556147586,259,0.8046532028655007
func_cap,Skill/proxy,dvi_skill,Mid,1,0.004342803805585082,0.017558775588521206,0.8046532028655007,3093,0.8046532028655007
func_cap,Skill/proxy,dvi_skill,High,1,0.02462009808446267,0.013025789729000977,0.058744043899473776,8001,0.17623213169842133
