test,est,se,pval,outcome,n
treat_stack,0.06745551794476246,0.08425572237326996,0.4233605934871972,bhci_fixed,19862
treat_stack:dvi_mot,0.027940579852375212,0.01240407558229736,0.024288659253483835,bhci_fixed,19862
treat_stack:dvi_mat,0.015524723131449182,0.009593668666919665,0.10561392269692503,bhci_fixed,19862
treat_stack:dvi_skill,0.006405469418515931,0.014377883924483834,0.6559523225960637,bhci_fixed,19862
Motivation = Material,0.01241585672092603,0.015229960179637837,0.41494306295064587,bhci_fixed,19862
Motivation = Skill,0.02153511043385928,0.02169643325959051,0.3209222095813366,bhci_fixed,19862
Material = Skill,0.009119253712933251,0.01534063361322368,0.5522105619786886,bhci_fixed,19862
Joint test of three interactions,NA,NA,0.046093528785927956,bhci_fixed,19862
treat_stack,0.31495564410911037,0.1294088359903205,0.014941114543336484,func_cap,21525
treat_stack:dvi_mot,0.016677838198655995,0.018583724762666117,0.36948244707739364,func_cap,21525
treat_stack:dvi_mat,0.017852998579230193,0.014671376310492463,0.22365780841368801,func_cap,21525
treat_stack:dvi_skill,-0.0021505585633419862,0.02081025184503408,0.9176920951898194,func_cap,21525
Motivation = Material,-0.0011751603805741986,0.025829866325350948,0.963711815566229,func_cap,21525
Motivation = Skill,0.018828396761997983,0.029470247580957266,0.522891176159203,func_cap,21525
Material = Skill,0.02000355714257218,0.025676913050752075,0.4359512246837045,func_cap,21525
Joint test of three interactions,NA,NA,0.4194880603163008,func_cap,21525
